"{I}r	ir
"{W}az	waz
mochtín	mohten
mochſt	mügest
moch⸗te	mohte
moch⸗tí	mohte
mocthe	mohte
moc⸗hte	mohte
mod[...]	--
mode	muote
moder	muoter
modeſtiā	modestiam
modeſtum	--
modicum	--
modicū	--
modis	!
modiſ	modis
moduſ	--
modū	modum
modín	Modin
mod͛	muoter
moech	möhte
moecht	möhte
moechte	möhte
moechten	möhten
moechtin	möhten
moede	muote
moegen	mügen
moegín	mügen
moeht	möhte
moehte	möhte
moehtē	möhten
moere	môre
mog	mügen
moge	müge
mogelich	mügelich
mogen	mügen
mogent	mügent
mogen̄	mügen
moges	mügest
moget	müget
mogeſt	mügest
mogē	mügen
mogēt	mügent
moggen	mügen
moghen	mügen
mogin	mügen
mogint	mügent
mogit	[!!]
mogiſ	müges
mogiſt	[!!]
mogī	mügen
mogta	mohte
mogte	mohte
mogten	mohten
mogthe	mohte
mogthen	mohten
mogín	mügen
mogít	[!!]
mogíſt	[!!]
mogᵗen	mohten
mog⸗the	mohte
moh	maht
mohde	mohte
mohot	möhte
moht	mohte
mohta	mohte
mohtem	mohten
mohtend	mohtent
mohteſ	mohtes
mohteſt	mohtest
mohtē	mohten
mohtēt	mohtent
mohti	mohte
mohtin	mohten
mohtiſ	möhtes
mohtiſt	mohtest
mohtō	mohten
mohtte	mohte
mohſt	möhtest
mohᵗ	mohte
moh⸗t	mohte
moh⸗te	mohte
moh⸗ten	mohten
moi	müeje
moiche	müge
moicht	mohte
moichte	mohte
moichten	mohten
moichtē	mohten
moichtin	mohten
moide	muote
moider	muoter
moige	müge
moigelich	mügelich
moigen	mügen
moigē	mügen
moigint	mügent
moigt	mohte
moigten	mügen
moihte	mohte
moihten	mohten
moile	mülen
moilen	mülen
moilenſtein	mülenstein
moinzen	münzen
moinſte͛	Münstere
moirs	môrs
mois	muoz
moit	müget
moite	mohte
moithen	möhten
moitwilgeyt	muotwillicheit
moitz	muoz
moiſen	müezen
moiſes	Moyses
moiſi	Moisi
moiſt	muost
moiſte	muoste
moiſy	Moysê
moiſſen	müezen
moiſſē	müezen
moiſſichgeingeren	müezicgangæren
moiſſit	müezet
mol	mâl
molde	molte
molden	molten
mole	mâle
molen	mülen
moleſberg	Molsberc
moleſtuſ	--
molē	mülen
moloses	Moloses
molta	molte
mome	muome
momento	--
mon	man
monacho	--
monade	mânôde
monaſterii	--
monaſtery	--
monaſt͛íí	--
monbuͦrſchaf	muntborschaf
monden	mânden
mondē	mânden
monebunt᷑	--
monege	müniche
monetę	--
monfort	Monfort
monneſheit	mennischheit
monoˢceros	monosceros
monperſeffe	muntborscheffe
monsioy	monsoye
monssioy	monsoye
mont	munt
montabuͦr	Montabûr
montage	mântage
montana	Montana
monteral	Monterâl
monte oliueti	Monte oliveti
monteſ	montes
montē	montem
montferra	Montferra
montibus	--
montibuſ	montibus
montv͛ra	Montferra
mont oliueet	Mont olivêt
mont oliuet	Mont Olivet
monumenti	--
monumenti?	--
monumento	--
monverran	Montverrân
monv͛ran	Montferran
monſ	mons
monſoȳ	monsoy
monſoý	monsoy
monſ⸗oȳ	monsoy
mor	môr
morateſ	môrates
morbuſ	morbus
morbū	morbum
morbv̄	morbum
morbꝰ	morbus
morche	morhe
morchen	morhen
morchenmuͦs	morhemuos
morchē	morhen
mord	morde
mordare	mordære
morder	mordær
mordere	mordære
mordereſ	mordæres
morderin	mordæren
mordern	mordærn
mordeſ	mordes
mordeˢ	mordes
mordē	morden
mordir	mordær
mordit	mordet
mordiſ	mordes
mordiſken	mordischen
mordâre	mordære
mordéren	mordære
mordí	morde
mord͛	mordær
mord͛e	mordære
mord͛n	mordærn
mord͛s	mordærs
more	môre
moren	môren
moreſ	Mores
morfolc	môrvolc
morgan	Morgân
morganen	Morgânen
morgeN‍S	morgenes
morgelichē	morgenlîchen
morgen;	morgene
morgeneſ	morgenes
morgengabe	morgengâbe
morgengauen	morgengâben
morgenis	morgenes
morgeniſ	morgenes
morgenjſ	morgenes
morgenliche	morgenlîche
morgenlichen	morgenlîchen
morgenlíeht	morgenlieht
morgenregen	[!!]
morgenroda	morgenroete
morgenrot	morgenrôt
morgens	morgenes
morgenvvolchen	morgenwolken
morgenſ	morgenes
morgenſpraichen	morgensprâchen
morgenſtern	[!!]
morgenſterne	morgensterne
morgenſternen	morgensternen
morgenſterre	morgensterre
morgenſtunde	[!!]
morgen⸗lichin	morgenlîchen
morges	morgenes
morgeˢ	morgenes
morgē	morgen
morgēgot	morgenrôt
morgēlieht	morgenlieht
morgērot	[!!]
morgēs	morgenes
morgēstunde	morgenstunde
morgēzit	morgenzît
morgēſ	morgenes
morgēſt	morgenes
morgēſtern	morgensternen
morge⸗nes	morgenes
morgin	morgene
morgines	morgenes
morginet	morgenet
morginis	morgenes
morginiſ	morgenes
morginliche	morgenlîche
morginstunde	morgenstunde
morginwolchin	morgenwolken
morginzit	morgenzît
morginſ	morgenes
morginſterne	morgensterne
morginſternin	morgensternen
morginſterre	morgensterre
morgī	morgene
morgūs	morgenes
morgín	morgene
morgíns	morgenes
morgínís	morgenes
morgſ	morgenes
moriant᷑	moriantur
moriar	--
morig	[!!]
morin	[!!]
morinde	Morende
morin⸗⸗gen	Môringen
moriuntur	--
moriunt᷑	moriuntur
morlande	Môrlande
morlant	Môrlant
morlāt	Môrlant
morle	Môrle
morn	morgen
morne	morgene
mornen	morgenen
mornliche	morgenlîche
mornonſ	morgenes
mornv̄t	morgen
moroldeſ	Môroldes
morolt	Môrolt
morolteſ	Môroldes
mors	--
mortaliſ	mortalis
mortbrāde	mortbrande
mortburnini	mortburnenne
mortburníní	mortburnenne
mortelichen	mortlîchen
mortem	--
mortem:	mortem
morter	mortær
mortē	--
morte͛	morter
mortgelichen	mortgelîchen
mortgeſellen	mortgesellen
mortgirich	mortgiric
mortgitígen	mortgîtigen
morth	mort
morthes	mordes
mortheten	mordeten
mortiſ	mortis
mortleich	mortlich
mortleichen	mortlîchen
mortleichev	mortlîchiu
mortliche	mortlîche
mortlichen	mortlîchen
mortlích	mortlich
mortode	mortôde
morttaten	morttæten
mortua	--
mortuis	--
mortuiſ	mortuis
mortuos	--
mortuoſ	--
mortuoꝝ	mortuorum
mortuum	--
mortuum:	mortuum
mort⸗burnít	mortburnet
morz	môraz
morſ	mors
morſare	morsære
morſeln	morseln
morſere	morsære
morſ͛	morsær
mor̄	morbo
mor⸗de	morde
mor⸗dære	mordære
mor⸗gen	morgene
mor⸗genes	morgenes
mose	muose
most	muost
moste	muoste
mosten	muosten
mot	muot
mote	muote
moten	mohten
moter	muoter
moth	müeze
mothde	mohte
mothe	mohte
mothen	mohten
mothē	mohten
mothiz	[!!]
mothte	mohte
moththe	mohte
mothí	mohte
motin	mohten
motir	muoter
motirbarn	muoterbarn
motth	mohte
motthen	mohten
motuſ	motus
mot⸗he	mohte
motꝰ	--
moueantur	moveantur
mouebitur	movebitur
mouebor	movebor
moueri	moveri
mouerunt	moverunt
mougen	morgene
mouter	muoter
movr	mûr
movrhveter	mûrhüetær
movſe	muose
moweliche	müelîche
mower	mûr
mowet	müejet
mowicheit	müejicheit
mowit	müejet
mowiſ	müejes
moygit	müejet
moyn	Moyn
moys	muoz
moyseſ	Moyses
moysi	Moisis
moyſe	Moyse
moyſen	Moysen
moyſes	Moyses
moyſeſ	Moyses
moyſeſe	Moysese
moyſeſen	Mosen
moyſeſes	Moyseses
moyſeſeſ	Moses
moyſeſiſ	Moseses
moyſi	Moisi
moyſy	Moisi
moyſí	[!!]
moẏsen	Moysen
moẏſe	Moyse
moẏſen	Moisen
moẏſene	Moysene
moẏſes	Moyses
moẏſeſ	Moyses
moẏſi	Moisi
moẏ⸗ſes	Moises
moẏ⸗ſi	Moisi
moy⸗ſe	Moyse
moy⸗ſen	Moysen
moy⸗ſes	moyses
moy⸗ſí	[!!]
moz	muoz
moze	müeze
mozen	müezen
mozes	müezes
mozin	müezen
mozon	müezen
mozze	misse
mozzin	müezen
moíchte	mohte
moíder	muoter
moígten	mohten
moíſeſe	Mosese
moíſt	muost
moýgin	mügen
moýs	muoz
moýte	mohte
moýtte	mohte
moýſe	[!!]
moýſen	Moisen
moýſes	Moses
moýſeſ	Moises
moýſeſes	Moyseses
moýſi	Moisi
moſ	mos
moſe	muose
moſeburc	Moseburc
moſele	Mosele
moſen	muosen
moſig	mosic
moſiheuwiſ	mosehöuwes
moſt	muoste
moſte	muoste
moſten	muosten
moſtes	mostes
moſtin	muosten
moſtis	muostes
moſſe	mâze
moſſin	messen
moʳdeſ	mordes
moʳe	môre
moʳgen	morgen
moʳgeneſ	morgenes
moʳgenrot	morgenrôt
moʳgenſt͛n	morgenstern
moʳgē	morgen
moʳt	mort
moʳtiſ	mortis
moʳtlich	mortlich
moʳtui	mortui
moʳtuj̇	--
mōs	--
mōte	--
mōti	monti
moͤRdær	mordær
moͤcht	mohte
moͤchte	mohte
moͤchten	mohten
moͤchti	[!!]
moͤchtin	[!!]
moͤchtint	[!!]
moͤchtínt	[!!]
moͤerrem	mêrrem
moͤgent	mügent
moͤgēt	mügent
moͤgin	mügen
moͤht	möhte
moͤhte	möhte
moͤhten	möhten
moͤhtent	möhtent
moͤhtet	möhtet
moͤhteſt	möhtest
moͤhtē	möhten
moͤhtin	mohten
moͤhtín	möhten
moͤnden	mânden
moͤrchen	morhen
moͤre	moere
moͤrinne	moerinne
moͤrſer	morsær
moͤz	mâz
moͤze	mâze
moͤzze	mâze
moͤzzen	mâzen
moͥze	müeze
moͥzzin	müezen
moͮ	muo
moͮde	müede
moͮdendᵉ	muodente
moͮdeta	muodete
moͮdiu	müediu
moͮgen	mügen
moͮget	müget
moͮgin	mügen
moͮgit	müget
moͮht	mohte
moͮhte	möhte
moͮhten	mohten
moͮh⸗te	mohte
moͮlte	molte
moͮlten	molten
moͮme	muome
moͮre	mûre
moͮrin	mûren
moͮrngens	morgenes
moͮst	muoste
moͮt	muot
moͮte	muote
moͮten	muoten
moͮter	muoter
moͮteſ	muotes
moͮteſhalp	muoteshalp
moͮth	mohte
moͮthe	mohte
moͮtir	muoter
moͮtiſ	muotes
moͮt̄	muoter
moͮt̄er	muoter
moͮt͛	muoter
moͮz	muoz
moͮze	müeze
moͮzege	müezige
moͮzeget	müeziget
moͮzen	müezen
moͮzin	müezen
moͮzint	müezent
moͮziſ	müezest
moͮziſt	müezest
moͮzt	müezet
moͮzzcheit	müezicheit
moͮzze	müeze
moͮzzen	müezen
moͮzzeſt	müezest
moͮzzin	müezen
moͮſ	muose
moͮſe	muose
moͮſen	muosen
moͮſer	möser
moͮſeſ	muoses
moͮſin	müesen
moͮſon	muosen
moͮſt	muost
moͮ̂dé	müede
moͮ⸗ge	müge
moͮ⸗hte	mohte
moͮ⸗zen	müezen
moᵉchte	möhte
moᵉſtin	muosten
mo⸗chte	mohte
mo⸗ge	müge
mo⸗get	müget
mo⸗hte	mohte
mo⸗iſen	Moisen
mo⸗yſes	Moyses
mrre	mirre
mrūm	martyrum
mr̄	martyr
mr̄es	--
mr̄um	martyrum
ms̄	meus
mt	mit
mti	[!!]
mtt	mit
mu	--
mu%ſzig	müezic
mu\nt	munt
mucgen	müggen
muchte	mohte
mucken	mügen
mud	müget
mude	muote
mudede	müedete
muden	muoden
mudent	muotent
muder	muoter
mudere	muotere
muderliche	muoterlîche
muderlicheme	muoterlîcheme
muderlicher	muoterlîcher
mudes	muotes
mudeſ	muotes
mudi	müede
mudir	muoter
mudit	muotet
mudír	muoter
mud͛	muoter
mue	müeje
muede	müede
mueg	müge
muelich	müelîche
muen	müejen
muer	mûr
mues	müeze
muet	[!!]
muete	[!!]
mueter	[!!]
muet͛	muoter
muez	muoz
mueze	müeze
muezen	müezen
muezze	[müeze]
muezzen	[!!]
mueſt	muoste
mueſte	[!!]
mug	müge
muge	müge
mugeN	mügen
mugelic	mügelich
mugelich	mügelich
mugeliche	mügelîche
mugelicheit	mügelîchheit
mugelichen	mügelîchen
mugen	mügen
mugende	mügende
mugent	mügent
mugentlichen	mugentlîchen
muges	müges
muget	müget
mugeſ	müges
mugeſt	mügest
mugē	mügen
mugēt	mugent
muggen	müggen
mugi	müge
mugid	müget
mugilich	mügelich
mugilichen	mügelîchen
mugilih	mügelich
mugin	mügen
mugint	mügent
mugit	müget
mugiſ	mügest
mugiſt	mügest
mugī	mügen
mugīt	mügent
muglich	mügelich
mugliche	mügeliche
muglicheit	mügelîchheit
muglícheit	mügelîchheit
mugt	müget
mugé	müge
mugí	müge
mugín	mügen
mugít	müget
mugſt	mügest
mug⸗en	mügen
muht	muot
muhte	mohte
muidecheide	müedicheite
muis	muoz
mukken	müggen
mul	mûl
mulagir	Mulagir
mulboume	mûlboume
mulboͮme	mûlboume
mulburg	Mulburc
mulcen	mulzen
mule	mûle
mulen	mülen
muleſteín	mülestein
mulhuſín	Mülehûsen
muli	müle
mulich	müelich
muliche	müelîchen
muliere	--
mulieribꝰ	--
mulihuiſín	Mülehûsen
mulihuſín	Mülehûsen
mulih⸗uſín	Mülehûsen
mulin	mülen
mulingestelle	mülengestelle
mulinheim	Mülenheim
mulin⸗arkin	Mülenarken
mullemunt	fullemunt
mullers	Müllærs
muln	mülen
mulner	mülenær
mulnær	mülenær
multaſ	multas
multe	multae
multern	muoltern
multiplicauit	multiplicavit
multiplicentur:	multiplicentur
multiplicitaſ	multiplicitas
multipl̄	multiplicati
multitudiniſ	multitudinis
multitudo	--
multitudínem	multitudinem
multiſ	multis
multos	--
multū	multum
mult̄	multiplicati
mulíeres	--
mulſā	--
mulſtaín	mülestein
mumē	muomen
mumin	muomen
mun	mügen
munche	müniche
mund	munt
mundari	--
mundbar	muntbor
munde;	munde
munden	[!!]
munderē	munderen
mundeſ	mundes
mundē	munden
mundi:	mundi
mundialeſ	mundiales
mundicia	munditia
mundiciam	munditiam
mundin	munden
mundis	mundes
mundiſ	mundes
mundj	mundî
mundus	--
munduſ	mundus
mundū	mundum
mundv̄	--
mundíſ	mundes
mund͛	munder
mundᵉ	munde
mundᵉs	mundes
mundᵉſ	mundes
muneche	müniche
munechete	münichete
munefelden	Münevelden
muneribuſ	muneribes
muneſtere	münstere
munfort	Munfort
munic	münich
munich	müniche
muniche	müniche
munichen	münichen
munichē	münichen
munichin	münichen
munichiˢ	müniches
munichī	münichen
munichlicheme	münichlîcheme
munichlichē	münichlîchen
munih	münich
munihlicher	münichlîcher
munize	müneze
munkunne	mankünne
munparſcaf	muntborschaf
munt?	munt
munter	munder
munth	munt
muntir	munder
munuſturi	münestere
munze	münze
munzin	münzen
munzmaiſter	münzmeister
munzmeiſter	münzmeister
munzmeiſters	münzmeisters
munzvn	minzen
munzzer	münzær
muních	münich
muníche	müniche
muníchite	münichete
munſte	[!!]
munſter	münster
munſtere	münstere
munſteri	münstere
munſters	münsters
munſterſ	münsters
munſte͛	münster
munſte⸗re	münstere
munſtir	münster
munſtirſ	münsters
munſt͛	münster
munſt͛iſ	münsteres
munſt͛s	münsters
munſſe	münze
mun͛ibꝰ	muneribus
mun⸗de	munde
munꝰ	--
muo	müeje
muode	müede
muoden	müeden
muoder	[muoter]
muodinc	müedinc
muodoti	muodete
muoeſt	müezet
muont	müejent
muosen	[muosen]
muota	muote
muoteſ	muotes
muothen	muoden
muotir	muoter
muotira	muotere
muotuuillen	muotwillen
muotſieh	muotsiech
muot̄	muoter
muoze	müeze
muozen	müezen
muozi	müeze
muozic	müezic
muoziclichir	muoziclîcher
muozige	[müezige]
muozilichir	muozelîcher
muozin	müezen
muozint	müezent
muozze	müeze
muozzen	[müezen]
muozzige	müezige
muozzigheîte	müezicheite
muozzin	müezen
muoſe	muose
muoſen	muosen
muoſint	muosent
muoſt	muoste
muoͮte	muote
mur	mir
mura	mûre
murdeclich	mördiclich
murdekeit	mordicheit
murdres	Mordres
mure	mûre
muren	mûren
murē	mûren
muri	mûre
murin	mûren
muris	mûres
murlana	Muralan
murmelerſen	murmelærissin
murmellene	murmelente
murmeloten	murmeleten
murmelt	[!!]
murmelte	[!!]
murmelūge	murmelunge
murmelūgen	murmelungen
murmelūgē	murmelungen
murmil	murmel
murmilendiſ	murmelentez
murmilon	murmelen
murmilunge	murmelunge
murmilſ	murmels
murmul	murmel
murmulares	murmulæres
murmulari	murmulære
murmulen	murmelen
murmulendin	murmelenten
murmulendᵉ	murmelente
murmulent	murmelent
murmulode	murmelôde
murmulten	murmelten
murmulun	murmelen
murmulunge	murmelunge
murmulūge	murmelunge
murmulvnge	--
murmur	Murmur
murmuren	murmerieren
murmurere	murmurære
murmurle	murmele
murmuroden	murmeleten
murmurut	murmeret
murmvleris	murmulæres
murmylten	murmelten
murm͛ende	[!!]
murm͛vnd͛	[!!]
murm͛vnge	murmelunge
muron	mûren
muruſ	murus
murvm	murum
murwe	mürwe
murwente	mûrwende
murſal	mursel
murſel	mursel
murſelen	murselen
murſeln	murseln
mur⸗mel	murmel
mus	muoz
musen	muosen
must	muost
muste	muoste
mut	muot
mutacio	--
mutbeſcheit	muotbescheit
mute	muote
muteR	muoter
muten	muoten
mutendē	[!!]
muter	muoter
muterlibe	muoterlîbe
muterliche	müeterlîche
muterlichem	muoterlîchem
muterlichen	muoterlîchen
muterlicher	muoterlîcher
muternacket	muoternacket
muterwrz	 muoterwurz
mutes	muotes
mutet	muotet
muteſ	muotes
muteʳ	muoter
muthniſſe	müednisse
mutilicheme	muoterlîcheme
mutir	muoter
mutirliche	muoterlîchere
mutis	muotes
mutit	muotet
mutlichen	[!!]
mutte	mütte
mutten	mütten
mutt͛	muoter
mutū	--
mutwille	muotwille
mutwillen	muotwillen
mutwillín	muotwillen
mutyr	muoter
mutí	muoten
mutír	muoter
mutſchal	muntschal
mutſuͦne	muotsuone
muṫlibe	muoterlîbe
mut͛	muoter
mut͛halp	muoterhalben
muwerere	mûrære
muwet	müejet
muz	muoz
muzd	müezet
muze	müeze
muzegen	müezigen
muzen	müezen
muzere	mûzære
muzes	müezes
muzet	müezet
muzeſ	müezest
muzeſt	müezest
muzē	müezen
muziche	müezige
muzigen	müezigen
muzin	müezen
muzis	müezes
muzit	müezet
muziſt	müezest
muzlich	muozlich
muzliche	muozlîche
muzt	müezet
muzz	müeze
muzze	müeze
muzzege	müezige
muzzegen	müezigen
muzzekeit	müezicheit
muzzen	müezen
muzzeſt	muozest
muzzē	müezen
muzzi	müeze
muzzich	müezic
muzzig	müezic
muzzige	müezige
muzzigeme	müezigeme
muzzin	müezen
muzzit	müezet
muzín	müezen
muzſe	müeze
muzſen	müezen
muzſiſ	müezes
muzſíſ	müezes
muz⸗zigin	müezigen
muítit	muotet
muítí	muoten
muítín	muoten
muítít	muotet
muôdéſ	muotes
muôt	muot
muôte	muote
muôtuirdeînchede	muotverdenkede
muôunga	müejunge
muſ	muose
muſcat	muscât
muſcata	muscata
muſchatbluͦmen	muscâtbluomen
muſcich	müezic
muſe	muose
muſel	[!!]
muſeln	Museln
muſelſucht	miselsuht
muſen	muosen
muſet	muoset
muſeſ	muoses
muſeſt	müesest
muſhuſ	muoshûs
muſica	musica
muſicam	--
muſice	mûseke
muſikeit	[!!]
muſin	muosen
muſiſ	muost
muſiſt	müezest
muſkeide	müezkeite
muſket	müschet
muſt	muost
muſte	muoste
muſten	muosten
muſtes	muostes
muſtē	muosten
muſtin	[!!]
muſtu	muoste
muſz	muoz
muſze	muoze
muſzen	müezen
muſzigen	müezigen
muſſe	müeze
muſſen	müezen
muſ⸗te	muoste
mūd	munde
mūda	Munda
mūde	munde
mūder	munder
mūdeſ	mundes
mūdo	--
mūdᵉ	munde
mūt	munt
mūtlude	muntliute
mūzin	münzen
mūſtir	münster
mūſt͛	münster
mū⸗de	munde
muͤchte	möhte
muͤchten	möhten
muͤde	müede
muͤden	müeden
muͤen	müejen
muͤeſte	muoste
muͤg	müge
muͤge	müge
muͤgen	mügen
muͤgent	mügent
muͤget	müget
muͤgeſt	mügest
muͤgē	mügen
muͤgt	müget
muͤle	müle
muͤlen	mülen
muͤlich	müelich
muͤln	mülen
muͤlner	mülenær
muͤlſtaín	mülestein
muͤlſtaíne	mülesteine
muͤmen	muomen
muͤn	müejen
muͤnd	münde
muͤnde	munde
muͤnzmaiſter	münzmeister
muͤnzmaiſt͛	münzmeister
muͤnzêr	münzær
muͤnſter	münster
muͤoz	muoze
muͤrde	mürde
muͤrdig	mordic
muͤs	muose
muͤt	muote
muͤten	muoten
muͤterlichem	muoterlîchem
muͤterlíchen	muoterlîchen
muͤtes	muotes
muͤtwille	muotwille
muͤt͛lich	muoterlich
muͤwen	müejen
muͤz	muoz
muͤze	müeze
muͤzen	müezen
muͤzent	müezent
muͤzet	müezet
muͤzez	müezen
muͤzē	müezen
muͤzic	müezic
muͤzich	müezic
muͤzlich	muozlich
muͤzt	müezet
muͤzz	müeze
muͤzze	müeze
muͤzzen	müezen
muͤzzē	müezen
muͤzzikeit	müezicheit
muͤzͤ̄	müezen
muͤíet	müejet
muͤſ	müese
muͤſe	muose
muͤſen	müezen
muͤſeſt	müezest
muͤſt	müeste
muͤſte	muoste
muͤſten	muosten
muͤſtet	müestet
muͤſtēt	müestent
muͤſzent	müezent
muͤſzēt	müezent
muͤſſ	müeze
muͤſſe	müeze
muͤſſen	müezen
muͤſſent	müezent
muͤſſeſt	[!!]
muͤſſē	müezen
muͤſſēt	müezent
muͥge	müge
muͥgelich	mügelich
muͥgen	mügen
muͥgin	mügen
muͥli	müle
muͥliwuͦre	mülewuore
muͥlí	müle
muͥlírunſe	mülerunse
muͥnze	münze
muͥnſterherren	münsterhêrren
muͥrdet	mürdet
muͦ	müeje
muͦce	müeze
muͦchtin	mohten
muͦd	muot
muͦde	muote
muͦde;	muote
muͦdecheide	müedicheite
muͦden	muoden
muͦdent	müedent
muͦder	muoter
muͦdere	muotere
muͦderliche	muoterlîche
muͦderlichme	muoterlîcheme
muͦdes	muotes
muͦdē	müeden
muͦdēt	müedent
muͦdin	müeden
muͦdir	muoter
muͦdis	muotes
muͦdiu	müediu
muͦdiz	Muotes
muͦdír	muoter
muͦd͛	muoter
muͦe	müeje
muͦed	müejet
muͦede	müede
muͦen	müejen
muͦent	müejent
muͦet	müejet
muͦete	müejete
muͦez	müeze
muͦeze	müeze
muͦezz	müezen
muͦeſal	müejesal
muͦg	mügen
muͦge	müge
muͦgelich	mügelich
muͦgeliche	mügelîche
muͦgelích	[!!]
muͦgen	mügen
muͦgent	müejent
muͦgentheit	mugentheit
muͦges	müges
muͦget	müget
muͦgeˢ	müges
muͦgē	mügen
muͦgētheit	mugentheit
muͦgge	müge
muͦgie	müeje
muͦgien	müejen
muͦgin	mügen
muͦgindin	mugenden
muͦgis	müges
muͦgit	müget
muͦgīt	mügent
muͦglich	mügelich
muͦgte	mohte
muͦgín	mügen
muͦht	muot
muͦhte	mohte
muͦhten	mohten
muͦigen	mügen
muͦize	müeze
muͦl	müll
muͦle	mûle
muͦlen	mülen
muͦlengaſſen	Mülengazzen
muͦlich	müelîche
muͦliche	müelîche
muͦlicheide	mügelîchheite
muͦlichi	müelîche
muͦlin	mülen
muͦlinheim	Mülenheim
muͦme	muome
muͦmen	muomen
muͦmme	muome
muͦn	min
muͦnche	müniche
muͦnde	munde
muͦndelin	mündelîn
muͦndis	mundes
muͦne	muome
muͦnech	münich
muͦneche	--
muͦnege	müniche
muͦnen	müenen
muͦnich	münich
muͦniche	müniche
muͦnicheie	[!!]
muͦnichete	münichete
muͦnichē	münichen
muͦnichlip	münichlîp
muͦniſter	münster
muͦniſtere	münstere
muͦnt	munt
muͦnze	münze
muͦnzen	münzen
muͦnzin	münzen
muͦnzz	münze
muͦnzín	münzen
muͦnſter	münster
muͦnſtere	münstere
muͦnſtir	münster
muͦnſt͛	münster
muͦr	muor
muͦre	mûre
muͦren	mûren
muͦrin	mûren
muͦrit	mûret
muͦrmulere	murmulære
muͦrwin	mürwen
muͦs	muoz
muͦse	muose
muͦst	muost
muͦste	muoste
muͦsten	muosten
muͦt	muot
muͦt;	muot
muͦte	muote
muͦteR	muoter
muͦten	muoten
muͦter	muoter
muͦtere	muotere
muͦteren	muoteren
muͦterliche	muoterlîche
muͦterlicher	muoterlîcher
muͦterlichin	muoterlîchen
muͦtes	muotes
muͦtet	muotet
muͦteſ	muotes
muͦteſt	muotest
muͦtgeluſte	muotgelüste
muͦtgeluſtē	muotgelüsten
muͦtgeluͤſte	muotgelüste
muͦthe	müede
muͦtir	muoter
muͦtire	muotere
muͦtis	muotes
muͦtit	munt
muͦtiſ	muotes
muͦtkur	muotküre
muͦtrā	muotern
muͦtte	muotte
muͦttere	muttere
muͦttruobin	muottrüeben
muͦtwille	muotwille
muͦtwillen	muotwillen
muͦtwillin	muotwillen
muͦtwillę	muotwille
muͦtwil⸗len	muotwillen
muͦtz͛	mützær
muͦtír	muoter
muͦtęr	muotere
muͦtſiekin	muotsiechen
muͦtſuͦne	muotsuone
muͦtſuͦnen	muotsuonen
muͦt̄	muoter
muͦt͛	muoter
muͦt͛lichē	muoterlîchem
muͦt͛nackit	muoternacket
muͦt⸗er	muoter
muͦwe	müeje
muͦwet	müejet
muͦx	muoz
muͦz	muoz
muͦze	müeze
muͦzec	müezic
muͦzech	müezic
muͦzecheit	müezicheit
muͦzen	müezen
muͦzent	müezent
muͦzes	müezes
muͦzet	müezet
muͦzeſ	müezes
muͦzeſt	müezest
muͦzē	müezen
muͦzēt	müezent
muͦzi	muoze
muͦzic	müezic
muͦzich	müezic
muͦzic⸗her	müeziger
muͦzige	müezige
muͦzig͛	müeziger
muͦzin	müezen
muͦzint	müezent
muͦzit	müezet
muͦzlic	muozlich
muͦzt	muoste
muͦzte	muozte
muͦzz	muoz
muͦzze	müeze
muͦzzen	müezen
muͦzzet	müezet
muͦzzeſ	muozes
muͦzzeſt	muozest
muͦzzi	müeze
muͦzzich	müezic
muͦzzikait	müezicheit
muͦzzin	müezen
muͦzzit	müezet
muͦzziſt	müezest
muͦzín	müezen
muͦzínt	müezent
muͦzſe	müeze
muͦzᶻere	mûzære
muͦz⸗en	müezen
muͦz⸗zen	müezen
muͦzꝫ	müezet
muͦíē	müejen
muͦýde	muote
muͦýs	muoz
muͦſ	muose
muͦſce	müeze
muͦſcen	müezen
muͦſe	muose
muͦſehûs	muosehûse
muͦſen	muosen
muͦſeſt	müesest
muͦſhuſ	muoshûs
muͦſhuſes	muoshûses
muͦſhuſiſ	muoshûses
muͦſin	muosen
muͦſit	muoset
muͦſon	muosen
muͦſs	muoz
muͦſt	muost
muͦſte	muoste
muͦſten	muosten
muͦſtes	muostes
muͦſtē	muosten
muͦſtin	muosten
muͦſtī	muosten
muͦſzen	muozen
muͦſſ	muoz
muͦſſe	müeze
muͦſſen	[!!]
muͦſſent	müezent
muͦſ⸗ten	muosten
muͦ⸗gen	mügen
muͦ⸗gin	mügen
muͦ⸗gt	müget
muͦ⸗re	mûre
muͦ⸗rín	mûren
muͦ⸗te	muote
muͦ⸗ter	muoter
muͦ⸗ze	müezen
muͦ⸗zeget	müeziget
muͦ⸗zen	müezen
muͦ⸗zet	müezet
muͦ⸗ſ	muose
muͦ⸗ſe	muose
muͦ⸗ſen	muosen
muͦ⸗⸗ge	mügen
muͦ⸗⸗gen	mügen
muͦ⸗⸗teſ	muotes
muͦ⸗⸗zen	müezen
muͮſte	muoste
mu⸗de	müede
mu⸗ge	müge
mu⸗gelich	mügelich
mu⸗gen	mügen
mu⸗get	müget
mu⸗gi	müge
mu⸗gin	mügen
mu⸗gí	müge
mu⸗gín	mügen
mu⸗nt	munt
mu⸗re	mûre
mu⸗ter	muoter
mu⸗terlichen	muoterlîchen
mu⸗ze	müezen
mu⸗zen	müezen
mu⸗zet	müezet
mu⸗zeſt	müezest
mu⸗ſ	muose
mu⸗ſicam	musicam
mu⸗ſte	müeste
mu⸗⸗gen	mügen
