"{I}r	ir
"{W}az	waz
Allen	allen
Allenhalbē	allenhalben
Allentalben	allenthalben
Allenthalben	allenhalben
Allenthalbē	allenthalben
Allenthalchen	allenhalben
Allenſamt	allensament
Aller	aller
Allererſt	allerêrste
Allergewelgiſte	allergewaltigeste
Allergrost	allergroezest
Allermannelich	allermannelîch
Allermeiſt	allermeist
Allermenlich	allermannegelîch
Allerneſt	[allernæheste]
Allerreineſte	allerreineste
Allerſchoneſte	allerschoeneste
Alles	alles
Allesva	alleswâ
Allet	allez
Alleu	alliu
Allev	alliu
Allexandro	Alexandrô
Allez	allez
Alle dí wíle	alle die wîle
Alleín	alein
Alleíne	aleine
Alleſ	allez
Alleſament	allesament
Alleſua	alleswâ
Allē	allen
Alli	alle
Allin	allen
Allir	aller
Allirgerniſt	allergerneste
Allirmenlich	allermannelîch
Allis	alles
Allit	allez
Alliv	alliu
Alliz	allez
Allo	alle
Allu	alliu
Allūbe	alumbe
Allí	alle
Allív	alliu
Allíz	allez
Allíſ	allez
Allîu	alliu
All̸a	alleluia
All͛	aller
Almachio	[!!]
Almachiꝰ	[!!]
Almahtiger	almehtiger
Almehtig	almehtic
Almehtíger	almehtiger
Almeiſt	[!!]
Almitten	almitten
Almuſe	[!!]
Almuͦzen	almuosen
Almæhtigen	almehtigen
Aloe	aloe
Alpha	--
Alre	allere
Alreirſt	allerêrst
Alrerst	allerêrste
Alreſt	allrêrest
Alreſte	allrêreste
Alreʳſt	allrêrest
Alrih	Alrîch
Alroten	Alrôten
Alrýrſt	allrêrest
Als	als
Alse	alse
Also	alsô
Alsos	alsus
Also schiere	alsô schiere
Also schiere alse	alsô schiere allsô
Also sciere	alsô schiere
Alsus	alsus
Alsz	allz
Als schiere	als schiere
Alt	alt
Altaclere	Alteclêre
Altare	--
Alteclere	Alteclêre
Altecleren	Alteclêren
Alteonē	Alteonen
Alter	altær
Altes	altez
Altheím	Altheim
Alto	Atto
Altære	haltære
Alt͛	alter
Alūbe	alumbe
Alvm	alumbe
Alvmbe	alumbe
Alvmme	alumbe
Alvm̄e	alumbe
Alv̄me	alumbe
Alwante	alwande
Alytſhantz	Alischanz
Alytſhanz	Alischanz
Alz	als
Alzbuchel	Malzbüchel
Alzehant	alzehant
Alzeýe	Alzeie
Alzoges	alzoges
Alzogis	alzoges
Alzu	[!!]
Alzuhant	alzuohant
Alzv	alzuo
Alzvhant	alzehant
Alzvhāt	alzuohant
Al biz	al biz
Al die wile	al die wîle
Al die wîle․ daz	all die wîle daz
Al di wile dat	all die wîle daz
Alíí	--
Alſ	als
Alſam	alsam
Alſame	alsame
Alſā	alsam
Alſe	alse
Alſi	alse
Alſo	alsô
Alſolic	alsolich
Alſolich	alsolich
Alſoliche	alsoliche
Alſos	alsus
Alſuliche	alsoliche
Alſus	alsus
Alſuſ	alsus
Alſuſt	alsus
Alſuͦs	alsus
Alſvs	alsus
Alſvz	alsus
Alſvſ	alsus
Alſys	[!!]
Alſze	alse
Alſámo	alsame
Alſâ	alsô
Alſí	alse
Al⸗lez	allez
Al⸗lin	allen
Al⸗ſe	alse
Al⸗ſo	alsô
Al⸗⸗rin	Alrich
Am	an
AmEN	[!!]
Amanſ	Amonis
Amatiſten	ametisten
Amatiſtuſ	amatistus
Ambet	ambaht
Ambroſ	[!!]
Ambroſius	Ambrosius
Ambroſiꝰ	--
Ambroſíus	Ambrosius
AmeN	âmên
Amehtec	âmehtic
Ameizze	âmeize
Ameizzen	âmeizen
Amelvnge	Amelunge
Amelvn⸗gen	Amelungen
Amen	âmen
AmenN	âmên
Ameṅ	âmen
Ametistes	ametistes
Ametiſtuſ	amethystus
Ameſtitus	amethystus
Amē	âmen
Amhoch	Anhoch
Amice	--
Amitman	ambetman
Ammichtin	ambahten
Amminadab	Amminadap
Amonſ	Amonis
Amorrea	[!!]
Amors	Hamores
Amphimacus	Anphimachus
Ampt	ambaht
Amptmanne	ambetmanne
Amtlude	ambetliute
Amtman	ambetman
Am̄	âmen
Am⸗⸗mirat	Ammirat
An	an
AnDromacha	Andromacha
Ananyam	Ananiam
Ananyas	Ananias
Ananye	Ananias
Anaſtaſie	Anastasiae
AndReas	Andreas
Andachte	anedæhte
Ande	unde
Andechtecliche	[!!]
Ander	ander
Andere	andere
Anderem	anderem
Anderen	anderen
Andereſ	anderes
Anderhalf	anderhalp
Anderhallef	anderhalp
Anderm	anderm
Andernach	Andernache
Anderre	anderre
Anders	anders
Andersit	andersît
Anderswa	anderswâ
Anderthalp	anderthalp
Anderu	anderiu
Anderwerbe	anderwerbe
Anderwerue	anderwerbe
Anderw͛be	anderwerbe
Anderſ	anders
Anderſit	andersît
Anderſtunt	anderstunt
Anderſwa	anderswâ
Andirs	anders
Andirweit	anderweit
Andirwerbe	anderwerbe
Andirwerue	anderwerbe
Andirw͛be	anderwerbe
Andirſ	anders
Andre	andere
Andreaz	Andreas
Andreaſ	--
Andree	Andreae
Andres	Andrês
Andrewes	Andrêweses
Andriu	anderiu
Andriſ	anderes
Androineſ	Androines
Andírnache	Andernache
Andírwerb	anderwerbe
Andírw͛be	anderwerbe
Andírſ	anders
And͛	ander
And͛en	anderen
And͛nache	Andernache
And͛s	anders
And͛sit	andersît
And͛werbe	anderwerbe
And͛ſíte	andersît
Andᵉr	ander
Ane	âne
Anegenge	anegenge
Anegin	anegin
Anevanc	anevanc
Anfimacū	Anfimachum
Angeborner	anegeborener
Angeli	--
Angelirs	Engelirs
Angelis	angelis
Angeſihte	anegesihte
Angeſtelichen	angestlîchen
Angiſten	angesten
Angnes	Agnes
Angneten	Agneten
Angneſ	Angnes
Angneſen	Angnesen
Anima	anima
Animal	animal
Anime	animae
Anneme	[!!]
Annin	Annen
Annuntiacionᵉ	--
Annūcjate	--
Anphýon	Anphyon
Ante	ante
Antel	Andel
Antelin	Andelin
Antenor	Andenor
Antenorem	Andenorem
Antenorē	Andenorem
Anthonij	Antonius
Anthoniuſ	Antonius
Antho⸗níus	Anthonius
Antichriſt	Antichrist
Antif	antiffene
Antife	[!!]
Antifē	antiffene
Antigonis	Antigones
Antiloco	Antilocô
Antilocū	Antilocum
Antiocho	--
Antiochvs	--
Antiochꝰ	--
Antlaz	antlâz
Antlazzit	entlâzet
Antlizze	antlitze
Antluzce	antlütze
Antoir-	Antoir
Antoniuſ	Antonius
Antoní	[!!]
Antoníum	Antonium
Antwedir	[!!]
Antwedírín	eintwederen
Antwerde	entweder
Antwerte	antwerten
Antworde	antwurte
Antwort	antwurt
Antworten	[!!]
Antwrde	antwürte
Antwrtent	antwürtent
Antwrt̄	antwürtet
Antwurt	antwürte
Antwuͥrtete	antwürtete
Antw͛tes	antwertes
Antwᵛrt	antwürte
Antyochia	Antiochia
Antze	Anze
Antífe	antiffene
Antíphe	antiffene
Antônîus	[Antonius]
Antýpat͛s	Antipaters
Anwurt	antwürte
Anímuſ	animus
Anſeis	Anseîs
Anſeiſ	Anseîs
Anſelm	Anselm
Anſelme	Anselme
Anſelmes	Anselmes
Anſelmis	Anselmes
Anſem	Ansem
Anſhelm	Anselm
Anſhelme	Anshelme
Anſis	Anseîs
Anſiſ	Anseis
Anſorg	Ânesorge
Anſprach	anesprâche
Anᵉ	âne
An⸗dere	andere
Aparuit	--
Apd̸	aput
Apemē	Apemen
Aperuerunt	aperverunt
Apet	abbet
Apgotern	apgötern
Apl̄s	--
Apl͛orr	--
Apocalẏpſiſ	--
Apokalypſis	apokalypsis
Apolloniꝰ	--
Apostole	apostole
Apostolis	apostolis
Apostolo	!
Apoſtelen	apostelen
Apoſtils	apostels
Apoſtolen	apostelen
Apoſtoli	apostoli
Apparuit	apparuit
Apparvit	apparvit
Appateker	apotêker
Appa⸗teker	apotêker
Appet	abbet
Appethie	abbetîe
Appetie	Appetîe
Appolle	Apolle
Appollen	Apollen
App̄hendent	aprehendent
Aprille	aberille
Apteken	apotêken
Apud	aput
Apía	Apia
Apⁱl̸	Aprilis
Apꝰ	--
Ar	ar
Arabei	Arabî
Arabisken	arabischen
Arabýa	Arabîa
Aramathiâ	Aramathia
Arantū	Arantum
Arbeide	arbeite
Arbeiten	arbeiten
Arbeitin	[!!]
Arbeitſam	arbeitsam
Arbona	--
Arbuſt	armbrust
Archadiū	Arcadium
Archangeli	--
Arche	arke
Archidiaken	archidiâken
Architriclin	architriclîn
Aren	aren
Arenvelz	Arenvels
Arfaxat	--
Arge	[!!]
Argei	Argeî
Argen	argen
Argiſ	arges
Aribeiti	arbeite
Arimeſpe	Arimespe
Arioth	Ariotch
Ariſtarchi	Aristarchî
Ariſtotiliſ	Aristoteles
Arm	arm
Armbrust	armbrust
Arme	arme
Armen	armen
Armer	armer
Armē	armen
Armin	armen
Armiv	arme
Armutes	[!!]
Armuͦde	armüete
Armuͦt	armuot
Armvt	armuot
Armvͦt	armuot
Armysen	armîsen
Arn	arn
Arne	arne
Arneſberg	Arnesberc
Arnold	Arnolt
Arnolts	Arnoldes
Arnolz	Arnoldes
Arnſtete	Arnstete
Aroel	Arôêl
Arraſ	Arraz
Arrius	Arius
Arriuſ	Arrîus
Arroys	Arrois
Art	[!!]
Artaxerſis	Artaxerses
Article	artikele
Artuſ	Artûs
Artuſe	Artûse
Artvſ	Artûs
Aruit	arvit
Arzete	arzâte
Arzit	arzât
Arâbîâ	[Arabia]
Arínthoſ	Arinthos
Arſenij	Arseniî
As	als
Asarinaſ	Asarinas
Ascendenſ	--
Ascendit	ascendit
Ascendo	--
Assatus	assatus
Assumpsit	assumpsit
Astiages	[!!]
At	--
Athanaſius	Athanasius
Athenaſ	Athênâs
Athenobivm	--
Athenobivs	--
Athiſ	Athîs
Athiſin	Athîsen
Athlantis	--
Athtich	ahtzic
Atrenbuͦren	Atrenbiuren
Attingit	attingit
Attollite	--
Au	ou
Aua	Ava
Auaricia	avaritia
Auch	ouch
Audi	--
Audite	audite
Audiui	audivi
Audiuit	audivit
Aue	ave
Auentvͥre	âventiure
Auent᷑	âventiure
Auer	aber
Aue MAría	avê Maria
Aue Ma	avê Maria
Aue Maria	avê Maria
Aue mAría	avê Maria
Aue maria	avê Maria
Aue maría	avê Maria
Aue ⸗Maria	avê Maria
Auf	ûf
Auferuntur	runtur
Aug	ouch
Augē	ougen
Augusti	[!!]
Auguſt	Augustinus
Auguſta	Augusta
Auguſteī	--
Auguſteín	[!!]
Auguſti	Augusti
Auguſtin	Augustîn
Auguſtinus	Augustinus
Auguſtinuſ	Augustinus
Auguſtiní	[!!]
Auguſtinꝰ	Augustinus
Auguſto	[!!]
Auguſtus	Augustus
Auguſtuſ	Augustus
Auguſtyn	[!!]
Auguſtí	--
Auguſtín	Augustin
Auguſtínus	Augustinus
Auguſtínꝰ	Augustinus
Auguſtꝰ	Augustus
Auguꝰti	Augusti
Aug͛	Augustinus
Augꝰ	Augustinus
Augꝰtinꝰ	Augustinus
Auir	aber
Auiti	Avitî
Aureola	aureolâ
Auribus	auribus
Auriū	aurium
Autula	autula
Autulam	autulam
Autule	autulae
Auſpurch	Ougesburc
Auſpurg	Ougesburc
Auſpurger	Augsburgær
Auſpurg͛	Ougesburgær
Auſpurk	Augsburc
Auſ⸗purch	Ougesburc
Auͦch	ouch
Auͦe	obe
Ava	abe
Avch	ouch
Avdi	--
Ave	ave
Aventivr	âventiure
Aver	aber
Avgvſti	--
Avgꝰtinꝰ	Augustinus
Avir	aber
Avn	âne
Avoy	âvoy
Avoẏ	âvoye
Avoý	âvoi
Avſpurch	Augsburc
Avͦh	ouch
Aweſte	ougeste
Awi	âwî
Awoý	âvoi
Axam	[!!]
Ay	â
Ayax	Ajax
Ayaxen	Ajaxen
Azarie	Azariê
Azaryam	Azariam
Azzen	âzen
Azzik	ahtzic
A·MEN	âmen
A·M·E·N	âmen
Aídes	eides
Aíer	eier
Aígen	eigene
Aím	eineme
Aímer	einber
Aín	ein
Aíne	âne
Aínen	einen
Aínlif	einliv
Aínne	einen
Aý	ei
Aýchin	Achen
Aýn dat	âne daz
Aſa	Asa
Aſcaffinb᷑g	Aschaffenburc
Aſcalbaies	Aschalbaies
Aſcendit	ascendit
Aſcenſio	ascensio
Aſcenſione	--
Aſer	[!!]
Aſia	Asia
Aſianiſchi	asiânische
Aſida	assida
Aſl	[!!]
Aſpach	Asbach
Aſpele	Aspele
Aſprian	Aspriân
Aſpriane	Aspriâne
Aſprianiſ	Aspriânes
Aſpri⸗an	Aspriân
Aſt	ist
Aſtitit	astitit
Aſtolt	Astolt
Aſya	--
Aſýa	--
Aſſchaffenburg	Aschaffenburc
Aſſe	ahse
Aſſinheim	Assenheim
Aſſinhem	Assenheim
Aſſiria	Assiria
Aſſur	Assur
Aſſvevs	Assueus
Aſſvr	Assur
Aſſwervs	--
Aſſwervſ	--
Aſſynheim	Assenheim
Ā	--
Ān	an
A⸗mon	Amon
A⸗rimathia	[!!]
Aꝑieſ	--
Aꝑite	--
B	--
B&et	betet
B&ot	betet
BEGEN	begên
BESVĖRON	besweren
BEati	beati
BĖTTE	bette
BI	bî
BIBAT	bibat
BIn	bin
BInabel	Binabel
BLanſcandiz	Blanschandiz
BLuot	bluot
BOnífacîus	Bonifatius
BRACHMANDE	Brâchmânde
BRiſter	priester
B[...]	--
Ba	dâ
BaRnabe	Barnabae
BaRtholoMeus	Bartholomeus
Babenberch	Babenberc
Babenberg	Babenberc
Babenberger	[!!]
Babeſt	bâbeste
Babeſte	bâbese
Babilon	Babilôn
Babilone	Babilône
Babiloni	Babilôni
Babilony	Babilôni
Babiloníe	Babilônie
Babiloníen	Babilônien
Babinhuſen	Babenhûsen
Babinhuſin	Babenhûsen
Babylon	Babilôn
Babylone	Babilône
Babylonis	Babilônes
Babẏloníe	Babilônie
Babýlon	Babilôn
Babſt	bâbest
Bachaide	Bacchide
Bachaides	Bacchides
Bache	beche
Bacheim	Bachheim
Bachen	backen
Bacherachin	Bacherachen
Bacheym	Bachheim
Bachgerach	Bacherache
Bachgerachge	Bacherache
Bachgerag	Bacherache
Bactria	Baktria
Baden	baden
Badenheim͛	Badenheimær
Badenheím͛	Badenheimær
Bades	[!!]
Badhus	badehûs
Badhuſes	badehûses
Badin	bâten
Badíns	[!!]
Baerge	berge
Baernart	Bernhart
Bagcheim	Bachheim
Baide	beide
Baieren	Beieren
Baithe	beide
Bakkenſlege	backenslege
Balam	Balaam
Balamen	Balaamen
Balames	Balaames
Balamſ	Balaames
Balā	Balaam
Bald	balde
Balde	balde
Baldenweg	Baldenwec
Baldewin	Baldewîn
Baldewine	Baldewîne
Baldewinen	Baldewînen
Baldewyne	Baldewîne
Baldewín	Baldewîn
Baldewínen	Baldewînen
Baldewínes	Baldewînes
Baldewĳn	Baldewîn
Balduyne	Baldewîne
Baldwin	Baldewîn
Baldwĳn	Baldewîn
Baldíngen	Baldingen
Bald̄	Baldewîn
Balgeheín	Balgeheim
Balmvngen	Balmungen
Baltaſar	Baltasar
Balthaſar	Balthasar
Baltran	Baltram
Balſam	[!!]
Balſamen	[!!]
Balſem	balsame
Bamberg	[!!]
Bamunch	Râmunc
Ban	ban
Banacher	Banacker
Bananẏas	Bananias
Banaẏas	Banaias
Banir	banier
Banne	banne
Bant	bant
Bapinheim	Bappenheim
Bappinhei	Bappenheim
Baptismus	baptismus
Baptista	baptista
Baptiſta	Baptista
Baptiſte	baptiste
Bapſt	bâbeste
Bap̄t̄-	--
Barachielē	Barachielem
Barbigol	Barbigoel
Barherchig	barmherzic
Barmeherzicheit	barmherzicheit
Barmherce	barmeherze
Barmhercich	barmherzic
Barmherze	barmherze
Barmherzíger	barmherziger
Barnaba	[!!]
Barnabe	Barnabê
Barnabeſ	Barnabases
Barraban	Barrabas
Bart	bart
Barten	barten
Barthaſar	Barthasar
Bartholome	[!!]
Bartholomei	Bartholomeî
Bartholomeuſ	Bartholomeus
Bartholomeuſe	Bartholomeuse
Bartholomewſ	Bartholomeus
Bartholomeꝰ	Bartholomeus
Bartholoneꝰ	Bartholomeus
Bartin	barten
Bartolomeis	Bartholomeis
Barvch	bâruc
Barvcheſ	bâruckes
Barvn	barûne
Bat	bat
Baten	bâten
Baungarten	boumgarten
Baungar⸗ten	boumgarten
Bavngart	boumgarte
Bavngarten	boumgarten
Bavngartens	boumgartens
Baydiv	[!!]
Baz	baz
Baýerlant	Beierlant
Baſel	Basel
Baſele	Basele
Baſeler	Baselær
Baſil	Basel
Baſile	Basile
Baſiles	Basiles
Baſilii	Basilii
Baſilio	Basîlîô
Baſiliuſ	Basîlîus
Baſi⸗liſtium	Basilistium
Baſyas	--
Baſylies	--
Baſſus	Bassus
Bāne	banne
Be	bî
BeSchirmære	beschirmære
Be\&1her	bezzer
Beachvrſ	Bêâcurs
Bealzenan	Bêalzenân
Beate	beatae
Beati	--
Beatirſe	Beatrise
Beatriſen	Bêatrîsen
Beatus	beatus
Beatuſ	--
Beatꝰ	[!!]
Bebeſten	bæbesten
Bebure	gebûre
Becche	beche
Bech	bech
Bechelaren	Bechelâren
Bechela⸗ren	Bechelâren
Becheler	Bechelær
Bechelun	Bechelen
Bechelí	Becheli
Becheret	bekêret
Bechert	bekêrt
Bechomen	bekômen
Bechvmmern	bekumbern
Bechv̄⸗ber	bekumber
Bechvͦmberten	bekumberten
Becken	becken
Beckilnheim	Beckelnheim
Beclagt	beklaget
Becleiben	beklîben
Becleidet	bekleidet
Becleidē	bekleiden
Beczeichent	bezeichent
Bedacht	bedâht
Bedachte	bedâhte
Bedaht	bedâht
Bedbure	Betebûre
Beddebure	Betebûre
Bede	[!!]
Bedebure	Betebûre
Bedebuͦre	Betebûre
Bedechten	[!!]
Bedecket	bedecket
Bedeckit	bedecket
Beden	beten
Bedenchet	bedenket
Bedenk	bedenke
Bedenken	[!!]
Bedenket	bedenket
Bedenthalp	beidenthalp
Bederbe	biderbe
Bedeſpet	bedespet
Bede⸗bure	Betebûre
Bedirmet	[!!]
Bediv	beidiu
Bedlehem	Bêthlêhêm
BedoRſt	bedorfte
Bedorfte	bedorfte
Bedrat	[!!]
Bedrubet	betrüebet
Bedrugit	betriuget
Bedudit	bediutet
Bedutende	bediutente
Bedwungin	bedwungen
Bedív	beidiu
Beelzebub	Belzebup
Beflecket	bevlecket
Beflozzē	bevlozzen
Befunden	bevunden
Befvlhent	bevulhent
Began	began
Begangen	[!!]
Begatten	[!!]
Begegent	begegenent
Begeint	begeinete
Begen	begên
Begent	begênt
Begeven	begeben
Begienc	[!!]
Begiengen	[!!]
Begingen	begiengen
Begingē	begiengen
Beginnent	beginnent
Beginnet	beginnet
Beginniſ	beginnes
Begintz	[!!]
Begit	begît
Begi̇n	begînen
Begonde	begonde
Begonden	begonden
Begozzen	begozzen
Begoſſenbrotz	Begozzenbrôtes
Begraben	[!!]
Begrabē	begraben
Begrebede	[!!]
Begreif	begreif
Begrif	begrîf
Begrifen	[!!]
Begrifet	begrîfet
Begriffen	begriffen
Begruben	begruoben
Begunde	begunde
Begunden	begunden
Begundes	begundes
Begundē	begunden
Begurtet	begürtet
Begūde	begunde
Beguͦnde	begunde
Beguͦnden	begunden
Begvnd	begunde
Begvnde	[!!]
Begvnden	begunden
Begíng	Beginc
Begínnet	beginnet
Begíntz	[!!]
Behab	[!!]
Behabte	behabete
Behaft	[!!]
Behagin	[!!]
Behalde	behalten
Behalden	behalten
Behaldē	behalten
Behalt	behalt
Behalte	behalte
Behalten	behalten
Behaltent	behaltent
Behaltet	beheltet
Behalue	behalbe
Behaluir	behalber
Behan⸗gen	behangen
