sigle,dialect,period,corpus
M544B,mfrk,13_2,ReM
M544C,mfrk,13_2,ReM
M544D,mfrk,13_2,ReM
M545,mfrk,14_1,ReM
M546,md,13_2,ReM
M547,mfrk,14_1,ReM
M548,wmd,13_2,ReM
M549,wmd,14_1,ReM
M550,wmd,13_2,ReM
M551,wmd,13_2,ReM
M552,omd,13_2,ReM
F064,oberrheinisch,"14,2",ReF
F073,oberrheinisch,"15,2",ReF
F082,oberrheinisch,"16,2",ReF
F088,hochalemannisch,"14,2",ReF
F094,hochalemannisch,"15,2",ReF
F106,hochalemannisch,"16,2",ReF
F112,schwäbisch,"14,2",ReF
F121,schwäbisch,"15,2",ReF
F131,ostschwäbisch,"14,2",ReF
F139,ostschwäbisch,"15,2",ReF
F148,gesamtschwäbisch,"16,2",ReF
F149,gesamtschwäbisch,"16,2",ReF
F154,ripuarisch,"14,2",ReF
F155,ripuarisch,"14,2",ReF
F159,ripuarisch,"15,1",ReF
F161,ripuarisch,"15,2",ReF
F163,ripuarisch,"15,2",ReF
F164,ripuarisch,"15,2",ReF
F165,ripuarisch,"15,2",ReF
F166,ripuarisch,"16,1",ReF
F167,ripuarisch,"16,1",ReF
F169,ripuarisch,"16,1",ReF
F170,ripuarisch,"16,1",ReF
F172,ripuarisch,"16,2",ReF
F173,ripuarisch,"16,2",ReF
F174,ripuarisch,"16,2",ReF
F175,moselfränkisch,"14,2",ReF
F181,moselfränkisch,"15,2",ReF
F190,moselfränkisch,"16,1",ReF
F192,moselfränkisch,"16,1",ReF
F193,moselfränkisch,"16,2",ReF
F194,moselfränkisch,"16,2",ReF
F195,moselfränkisch,"16,2",ReF
F201,hessisch,"15,1",ReF
F202,hessisch,"15,2",ReF
F203,hessisch,"15,2",ReF
F205,hessisch,"15,2",ReF
F206,hessisch,"15,2",ReF
F210,hessisch,"16,1",ReF
F211,hessisch,"16,1",ReF
F212,hessisch,"16,1",ReF
F215,südrheinfränkisch,"14,2",ReF
F216,südrheinfränkisch,"14,2",ReF
F218,südrheinfränkisch,"15,1",ReF
F219,südrheinfränkisch,"15,1",ReF
F220,südrheinfränkisch,"15,2",ReF
F225,südrheinfränkisch,"15,2",ReF
F228,südrheinfränkisch,"16,1",ReF
F229,südrheinfränkisch,"16,1",ReF
F232,hessisch-südrheinfränkisch,"16,2",ReF
F234,hessisch-südrheinfränkisch,"16,2",ReF
F235,westmitteldeutsch,"17,1",ReF
F236,westmitteldeutsch,"17,1",ReF
F237,westmitteldeutsch,"17,1",ReF
F001,mittelbairisch,"14,2",ReF
F002,nordbairisch,"14,2",ReF
F004,nordbairisch,"15,1",ReF
F005,nordbairisch,"15,1",ReF
F007,nordbairisch,"15,2",ReF
F008,nordbairisch,"15,2",ReF
F010,nordbairisch,"15,2",ReF
F011,nordbairisch,"15,2",ReF
F014,nordbairisch,"16,1",ReF
F015,nordbairisch,"16,1",ReF
F016,nordbairisch,"16,1",ReF
F018,nordbairisch,"16,1",ReF
F019,mittelbairisch,"14,2",ReF
F021,mittelbairisch,"14,2",ReF
F022,mittelbairisch,"15,1",ReF
F024,mittelbairisch,"15,1",ReF
F025,mittelbairisch,"15,2",ReF
F027,mittelbairisch,"15,2",ReF
F028,mittelbairisch,"15,2",ReF
F029,mittelbairisch,"15,2",ReF
F032,mittelbairisch,"16,1",ReF
F033,mittelbairisch,"16,1",ReF
F034,mittelbairisch,"16,1",ReF
F036,mittelbairisch,"16,1",ReF
F037,restbairisch,"16,2",ReF
F038,restbairisch,"16,2",ReF
F040,südbairisch,"14,2",ReF
F045,südbairisch,"15,1",ReF
F046,südbairisch,"15,2",ReF
F048,südbairisch,"15,2",ReF
F052,südbairisch,"16,1",ReF
F054,südbairisch,"16,1",ReF
F056,südbairisch,"16,1",ReF
F057,südbairisch,"16,1",ReF
F058,südbairisch,"16,2",ReF
F059,südbairisch,"16,2",ReF
F061,gesamtbairisch,"17,1",ReF
F062,gesamtbairisch,"17,1",ReF
F065,oberrheinisch,"14,2",ReF
F067,oberrheinisch,"15,1",ReF
F069,oberrheinisch,"15,1",ReF
F070,oberrheinisch,"15,2",ReF
F071,oberrheinisch,"15,2",ReF
F074,oberrheinisch,"15,2",ReF
F077,oberrheinisch,"16,1",ReF
F078,oberrheinisch,"16,2",ReF
F079,oberrheinisch,"16,1",ReF
F080,oberrheinisch,"16,1",ReF
F081,oberrheinisch,"16,1",ReF
F084,oberrheinisch,"16,2",ReF
F086,oberrheinisch,"17,1",ReF
F087,oberrheinisch,"17,1",ReF
F089,hochalemannisch,"14,2",ReF
F091,hochalemannisch,"15,1",ReF
F092,hochalemannisch,"15,1",ReF
F096,hochalemannisch,"15,2",ReF
F099,hochalemannisch,"15,2",ReF
F101,hochalemannisch,"16,1",ReF
F102,hochalemannisch,"16,1",ReF
F103,hochalemannisch,"16,1",ReF
F105,hochalemannisch,"16,1",ReF
F108,hochalemannisch,"16,2",ReF
F110,hochalemannisch,"17,1",ReF
F111,hochalemannisch,"17,1",ReF
F113,schwäbisch,"14,2",ReF
F115,schwäbisch,"15,1",ReF
F116,schwäbisch,"15,1",ReF
F118,schwäbisch,"15,2",ReF
F120,schwäbisch,"15,2",ReF
F123,schwäbisch,"15,2",ReF
F124,schwäbisch,"16,1",ReF
F126,schwäbisch,"16,1",ReF
F128,schwäbisch,"16,1",ReF
F129,schwäbisch,"16,1",ReF
F133,ostschwäbisch,"14,2",ReF
F137,ostschwäbisch,"15,2",ReF
F138,ostschwäbisch,"15,2",ReF
F142,ostschwäbisch,"16,1",ReF
F143,ostschwäbisch,"16,1",ReF
F145,ostschwäbisch,"16,1",ReF
F146,ostschwäbisch,"16,1",ReF
F151,gesamtschwäbisch,"17,1",ReF
F152,gesamtschwäbisch,"17,1",ReF
F240,thüringisch,"14,2",ReF
F241,thüringisch,"15,1",ReF
F243,thüringisch,"15,1",ReF
F245,thüringisch,"15,2",ReF
F246,thüringisch,"15,2",ReF
F248,thüringisch,"15,2",ReF
F249,thüringisch,"15,2",ReF
F251,thüringisch,"16,1",ReF
F252,thüringisch,"16,1",ReF
F253,thüringisch,"16,1",ReF
F256,thüringisch,"16,2",ReF
F258,thüringisch,"16,2",ReF
F259,obersächsisch,"14,2",ReF
F260,obersächsisch,"14,2",ReF
F262,obersächsisch,"15,1",ReF
F264,obersächsisch,"15,1",ReF
F268,obersächsisch,"15,2",ReF
F270,obersächsisch,"15,2",ReF
F271,obersächsisch,"16,1",ReF
F272,obersächsisch,"16,1",ReF
F274,obersächsisch,"16,1",ReF
F275,obersächsisch,"16,1",ReF
F278,obersächsisch,"16,2",ReF
F279,obersächsisch,"16,2",ReF
F280,schlesisch,"14,2",ReF
F281,schlesisch,"14,2",ReF
F283,schlesisch,"15,1",ReF
F286,schlesisch,"15,2",ReF
F292,schlesisch,"16,1",ReF
F293,schlesisch,"16,1",ReF
F295,schlesisch,"16,1",ReF
F296,schlesisch,"16,2",ReF
F298,schlesisch,"16,2",ReF
F300,schlesisch,"16,2",ReF
F301,ostmitteldeutsch,"17,1",ReF
F303,ostmitteldeutsch,"17,1",ReF
F304,-,"14,2",ReF
F306,-,"14,2",ReF
F308,-,"15,1",ReF
F309,-,"15,1",ReF
