sigle,title,period,dialect,typecode,ANNIS-Gruppe,Datierung (Text),Datierung (Hs.),Textbereich,Textsorte,Textart,Sprache (Hs.)/ Schreibort
M310,M310: Marien Himmelfahrt</h4>,13_2,rhfrhess,PV-G,13_2-rhfrhess-PV-G,1258 oder 1269,1278 (vgl. S. 366) oder wenig später,"Religion, Poesie",Mariendichtung,V,rheinfränkisch-hessisch
M311,M311: Heinrich von Freiberg: Tristan (F)</h4>,14_1,omd,V-G,14_1-omd-V-G,"etwa 1285-1290 (Bernt 1906, 185f.)","14,1",Poesie,höfischer Roman,V,ostmitteldeutsch (böhmisch)
M312,M312: Hartmann von Aue: Iwein (B)</h4>,13_1,obd,V-G,13_1-obd-V-G,"um 1200 (vgl. VL 3, 502)","13,2V (K. Schneider 1987a, 149).",Poesie,höfischer Roman,V,bairisch
M313,M313: Karl und Galie (D)</h4>,13_2,mfrk,PUV-G,13_2-mfrk-PUV-G,"ca. 1215-25 (Beckers 1994, 3)","13,E",Poesie,Karlsdichtung,V,ripuarisch
M314,M314: Ulrich von Liechtenstein: Frauendienst (M)</h4>,13_2,bair,PV-G,13_2-bair-PV-G,"13,M","13,E / um 1300",Poesie,fiktive Autobiographie,V,bairisch/ Niederösterreich
M315,M315: Landgraf Ludwigs Kreuzfahrt</h4>,14_1,omd,V-G,14_1-omd-V-G,"1301 (Naumann 1923, 194)",Anfang 14. Jh.,Poesie,Kreuzzugsdichtung,V,ostmitteldeutsch (schlesisch)
M316,M316: Lupold Hornburg: Reden</h4>,14_1,ofrk,V-G,14_1-ofrk-V-G,1347 (Rede IV) und 1348 (Rede I-III),um 1350,Poesie,Reimpaarreden,V,ostfränkisch/ Würzburg
M317,M317: Hugo von Langenstein: Martina</h4>,14_1,alem,V-G,14_1-alem-V-G,abgeschlossen 1293,um oder bald nach 1300,"Religion, Poesie",Heiligenlegende,V,alemannisch/ Raum Zürich
M318,M318: Evangelienbuch des Matthias von Beheim</h4>,14_1,omd,PU-G,14_1-omd-PU-G,–,1343,Religion,Bibelübersetzung,P,ostmitteldeutsch
M319,M319: Maria Magdalena' (Verslegende I)</h4>,14_1,bair,PUV-G,14_1-bair-PUV-G,"noch im 13. Jh. (Eis 1935, 237)","14,1V","Religion, Poesie",Heiligenlegende,V,südbairisch/ Steiermark
M320,M320: Mühlhäuser Rechtsbuch (N)</h4>,13_2,omd,PV-G,13_2-omd-PV-G,"ca. 1220-1230 (1224-1231?) (Eckhardt 1959, 459)","13,E",Recht,Stadtrechtsbuch,P,nordthüringisch/ Nordhausen?
M321,M321: Nibelungenlied</h4>,13_1,obd,V-G,13_1-obd-V-G,"ca. 1180-1210 (VL 6, 932)","13,1, wohl 13,2V (K. Schneider 1987a, 142, 144)",Poesie,Heldenepik,V,westbairisch-ostalemannisch
M322,M322: Nikolaus von Straßburg: Predigten (C)</h4>,14_1,alem,PU-G,14_1-alem-PU-G,um 1330,"etwa ab Jahrhundertmitte bis in die 70er Jahre des 14. Jahrhunderts (Karin Schneider, brieflich)",Religion,Predigten,P,alemannisch
M323,M323: Oberaltaicher Evangelistar</h4>,14_1,bair,PUV-G,14_1-bair-PUV-G,–,"14,A",Religion,Evangelistar,P,(ostmittel)bairisch
M324,M324: Oxforder Benediktinerregel</h4>,14_1,rhfrhess,PU-G,14_1-rhfrhess-PU-G,–,"14,1","Religion, Recht",Ordensregel,P,nordrheinfränkisch-hessisch/ Kloster Eberbach?
M325,M325: Wolfram von Eschenbach: Parzival (D)</h4>,13_1,obd,V-G,13_1-obd-V-G,"13,A, (ca. 1200-1210, VL 10, 1378)","nicht später als im 2. Viertel des 13. Jahrhunderts (K. Schneider 1987a, 142; 2. D. 13. Jh. (K. Klein 1994, 89).",Poesie,höfischer Roman,V,westbairisch-ostalemannisch
M326,M326: Passional (A)</h4>,14_1,omd,V-G,14_1-omd-V-G,"13,E","14,2V","Religion, Poesie",Heiligenlegenden,V,ostmitteldeutsch
M327,M327: Die Lilie (Prosateil)</h4>,13_2,mfrk,PUV-G,13_2-mfrk-PUV-G,"13,3D / nach 1260",späte 1270er oder 1280er Jahre,Religion,Allegorie,P,ripuarisch
M328,M328: Mitteldeutsche Predigten (Fr/G/H1)</h4>,13_2,rhfrhess,PV-G,13_2-rhfrhess-PV-G,"um 1200 / 13,1V","13,E",Religion,Predigt,P,rheinfränkisch
M329,M329: Millstätter Predigtsammlung</h4>,13_1,bair,PV-G,13_1-bair-PV-G,–,"13,M",Religion,Predigt,P,bairisch
M330,M330: Mitteldeutsche Predigten (K)</h4>,13_1,thurhess,PV-G,13_1-thurhess-PV-G,"um 1200 / 13,1V","13,M",Religion,Predigt,P,hessisch-thüringisch?
M331,M331: Hessische Reimpredigten</h4>,14_1,rhfrhess,V-G,14_1-rhfrhess-V-G,"14,1V","14,1V Ende / 14,2V Anfang","Religion, Poesie",Predigten,V,zentralhessisch
M332,M332: Schwarzwälder Predigten (Gr)</h4>,13_2,alem,PU-G,13_2-alem-PU-G,–,1280-1300,Religion,Predigt,P,alemannisch/ Schwaben oder südostalemannischer Raum
M333,M333: Rappoltsteiner Parzifal (Philipp Colin und Claus Wisse: 'Der Nüwe Parzefal')</h4>,14_1,alem,V-G,14_1-alem-V-G,"1331-1336 (Schorbach 1888, XX)",1331-1336.,Poesie,Epische Kompilation,V,alemannisch (elsässisch)/ Straßburg
M334,M334: Hugo von Trimberg: Renner (E)</h4>,14_1,ofrk,V-G,14_1-ofrk-V-G,1300 vollendet,1347,Poesie,Lehrdichtung,V,ostfränkisch (nürnbergisch)/ Nürnberg
M335,M335: Rheinisches Marienlob</h4>,13_1,wmd,PV-G,13_1-wmd-PV-G,–,"13,2V","Religion, Poesie",Mariendichtung,V,ripuarisch
M336,M336: Rudolf von Ems: Wilhelm von Orlens (M)</h4>,13_2,alem,V-G,13_2-alem-V-G,"Begonnen ca. 1235-1241/42?, dem Tod Konrads II von Öttingen (VL 8, 323f.)","13,4V",Poesie,Minne- und Aventiureroman,V,alemannisch/ Zürich?
M337,"M337: Salomons Haus (+ 'Von den Zeichen der Messe' S. 105-138, Vaterunserauslegung S. 138-148, 'Gespräch zwischen Christus und der minnenden Seele' S. 148-162)</h4>",13_2,rhfrhess,PV-G,13_2-rhfrhess-PV-G,"13. Jh. (VL 8, 524) bzw. vor ca. 1278",1278 (vgl. S. 366) oder wenig später,Religion,allegorischer Traktat,P,rheinfränkisch-hessisch
M338,M338: Nürnberger Stadtbuch (Satzungsbuch I/A)</h4>,14_1,ofrk,PU-G,14_1-ofrk-PU-G,1302-ca. 1310,1302-ca. 1310,Recht,Stadtrechtsbuch,P,ostfränkisch/ Nürnberg
M339,M339: Schwabenspiegel</h4>,13_2,alem,PU-G,13_2-alem-PU-G,"1275-76 (VL 8, 898)","23. August 1287 (Oppitz 1990, 466f.)",Recht,Rechtsbuch,P,alemannisch
M340,M340: Johannes Tauler: Predigten (W2)</h4>,14_1,mfrk,PUV-G,14_1-mfrk-PUV-G,–,"14,4V",Religion,Predigten,P,ripuarisch/ Köln?
M341,M341: Gottfried von Straßburg: Tristan (f1/f + m)</h4>,13_1,alem,PV-G,13_1-alem-PV-G,ca. 1200-1210,"13,M",Poesie,höfischer Roman,V,westalemannisch
M342,M342: Gottfried von Straßburg: Tristan</h4>,13_1,obd,V-G,13_1-obd-V-G,ca. 1200-1210,"13,2V; etwa fünftes Jahrzehnt des 13. Jh.s. (Montag , Gichtel 1979, Bd. 2, 5 u. 36; auch Klemm 1998, Nr. 202); ""gegen die Jahrhundertmitte"" (K. Schneider 1987a, 152).",Poesie,höfischer Roman,V,westbairisch-ostalemannisch
M343,M343: Ulrich von Türheim: Rennewart (B)</h4>,14_1,bairalem,PUV-G,14_1-bairalem-PUV-G,nach 1243,1320er Jahre,Poesie,höfischer Roman,V,bairisch-ostalemannisch (ostschwäbisch)
M344,M344: Augsburger Urkunden</h4>,13_2,bairalem,PV-G,13_2-bairalem-PV-G,–,1279-1285,Recht,Urkunden,U,ostschwäbisch/ Augsburg
M345,M345: Augsburger Urkunden</h4>,14_1,bairalem,PUV-G,14_1-bairalem-PUV-G,–,1336-1341,Recht,Urkunden,U,bairisch-ostalemannisch (ostschwäbisch)/ Augsburg
M346,M346: Freiburger Urkunden (1284-1298)</h4>,13_2,alem,PU-G,13_2-alem-PU-G,–,1284-1298,Recht,Urkunden,U,alemannisch/ Freiburg
M347,M347: Freiburger Urkunden</h4>,14_1,alem,PU-G,14_1-alem-PU-G,–,1316-1320,Recht,Urkunden,U,alemannisch/ Freiburg
M348,M348: Jena-Weidaer Urkunden</h4>,14_1,omd,PU-G,14_1-omd-PU-G,–,1317-1333,Recht,Urkunden,U,"thüringisch/ Jena, Weida"
M349,M349: Gottfried Hagen: Kölner Urkunden</h4>,13_2,mfrk,PUV-G,13_2-mfrk-PUV-G,–,1261-1274,Recht,Urkunden,U,ripuarisch/ Köln
M350,M350: Kölner Urkunden</h4>,14_1,mfrk,PUV-G,14_1-mfrk-PUV-G,–,1302-1320,Recht,Urkunden,U,ripuarisch/ Köln
M351,M351: Landshuter Urkunden</h4>,14_1,bair,PUV-G,14_1-bair-PUV-G,–,1333-1345,Recht,Urkunden,U,"mittelbairisch/ Landshut, Kloster Seligenthal"
M352,M352: Mainzer Urkunden</h4>,14_1,rhfrhess,PU-G,14_1-rhfrhess-PU-G,1346-1350,1346-1350,Recht,Urkunden,U,rheinfränkisch/ Mainz
M353,M353: Nürnberger Urkunden</h4>,14_1,ofrk,PU-G,14_1-ofrk-PU-G,1335-1341,1335-1341,Recht,Urkunden,U,ostfränkisch/ Nürnberg
M354,M354: Die Lilie (Versteil)</h4>,13_2,mfrk,PUV-G,13_2-mfrk-PUV-G,"13,3D / nach 1260",späte 1270er oder 1280er Jahre,"Religion, Poesie",Allegorie,V,ripuarisch?
M355,M355: Winsbeke und Winsbekin (I[J])</h4>,13_2,bairalem,PV-G,13_2-bairalem-PV-G,"Winsbecke 1210-20, später nicht ausgeschlossen; ""Winsbeckin"" etwas jünger (VL 10, 1224f.)",um 1300,Poesie,Lehrdichtung,V,bairisch-ostalemannisch/ Tirol?
M356,M356: Würzburger Polizeisätze</h4>,14_1,ofrk,PU-G,14_1-ofrk-PU-G,1342-43,ca. 1347-1350,Recht,Rechtssatzungen,P,ostfränkisch/ Würzburg
M357,M357: Bruder Hermann: 'Das Leben der Gräfin Yolanda von Vianden' (M)</h4>,14_1,mfrk,PUV-G,14_1-mfrk-PUV-G,"nach 1283, vielleicht 1293-1297 (Mielke-Vandenhouten 1998, 58f.)","14,1V Ende","Religion, Poesie",Heiligenlegende,V,westmoselfränkisch/ Kloster Marienthal?
M358,M358: Zwifaltener Benediktinerregel</h4>,13_1,bairalem,PV-G,13_1-bairalem-PV-G,–,"13,1V","Religion, Recht",Ordensregel,P,ostalemannisch
M359,M359: Rudolf von Ems: Weltchronik (Z)</h4>,13_2,alem,V-G,13_2-alem-V-G,"um 1250 (VL 8, 323f.)","13,E","Wissen(-schaft), Poesie",Geschichtsdichtung,V,alemannisch/ Freiburg?
M401,M401: Baumgarten geistlicher Herzen (L)</h4>,14_1,bairalem,PUV-G,14_1-bairalem-PUV-G,"1270-1290 (Unger 1969, 182)","13,E",Religion,"Gebete, Predigten, Traktate",P,bairisch-ostalemannisch (ostschwäbisch)/ Augsburg?
M402,M402: Berliner Evangelistar</h4>,14_1,omd,PU-G,14_1-omd-PU-G,–,"14,M",Religion,Bibelübersetzung,P,thüringisch-obersächsisch
M402Y,M402Y: Berliner Evangelistar</h4>,14_1,omd,PV-X,14_1-omd-PV-X,–,"14,M",Religion,Bibelübersetzung,P,thüringisch-obersächsisch
M403,M403: Buch der Könige (D1)</h4>,13_2,bair,PV-G,13_2-bair-PV-G,"1274/75-1282 (VL 1, 1091)","13,4V (80er Jahre)",Religion,biblische Erzählung,P,bairisch/ Regensburg
M403Y,M403Y: Buch der Könige (D1)</h4>,13_2,bair,P-X,13_2-bair-P-X,"1274/75-1282 (VL 1, 1091)","13,4V (80er Jahre)",Religion,biblische Erzählung,P,bairisch/ Regensburg
M404,M404: Rede von den 15 Graden (P)</h4>,14_1,mfrk,PUV-G,14_1-mfrk-PUV-G,"nicht vor 13,3D (VL 7, 1063)",vor 1350,Religion,mystischer Traktat,P,mittelfränkisch (ripuarisch)
M405,"M405: David von Augsburg, Traktate</h4>",13_2,bairalem,PV-G,13_2-bairalem-PV-G,bis 1272,kurz vor oder um 1300,Religion,Traktate,P,westl. mittelbairisch
M405Y,M405Y: David von Augsburg: Traktate</h4>,13_2,bairalem,PV-X,13_2-bairalem-PV-X,bis 1272,kurz vor/um 1300,Religion,Traktate,P,mittelbairisch (westlich)
M406,M406: Christine Ebner: 'Engelthaler Schwesternbuch' ('Von der genaden uberlast') (N2)</h4>,14_1,ofrk,PU-G,14_1-ofrk-PU-G,1340-vor 1346,um die Mitte oder höchstens kurz nach der Mitte des 14. Jh.s,Religion,Schwesternbuch,P,"ostfränkisch, nordbairisch/ Kloster Engelthal?"
M406Y,M406Y: Christine Ebner: 'Engelthaler Schwesternbuch' ('Von der genaden uberlast') (N2)</h4>,14_1,ofrk,P-X,14_1-ofrk-P-X,1340-vor 1346,um die Mitte oder höchstens kurz nach der Mitte des 14. Jh.s,Religion,Schwesternbuch,P,"ostfränkisch, nordbairisch/ Kloster Engelthal?"
M407,M407: Hermann von Fritzlar: Heiligenleben</h4>,14_1,rhfrhess,PU-G,14_1-rhfrhess-PU-G,–,1349?,Religion,"Heiligenlegenden, Predigten",P,hessisch-thüringisch
M407Y,M407Y: Hermann von Fritzlar: Heiligenleben</h4>,14_1,rhfrhess,PV-X,14_1-rhfrhess-PV-X,–,1349?,Religion,"Heiligenlegenden, Predigten",P,hessisch-thüringisch
M408,M408: Jenaer Martyrologium</h4>,13_2,omd,PV-G,13_2-omd-PV-G,–,"13,E / um 1300",Religion,"Heiligenlegende, Martyrologium",P,thüringisch
M409,M409: St. Pauler Predigten</h4>,13_1,bair,PV-G,13_1-bair-PV-G,–,"13,2V",Religion,Predigt,P,bairisch
M410,M410: Ruprecht von Freising: Freisinger Rechtsbuch</h4>,14_1,bair,PUV-G,14_1-bair-PUV-G,"1328 (VL 8, 416)","nach 1328 (Claußen 1940, 3)",Recht,Stadtrechtsbuch,P,mittelbairisch/ Freising
M411,M411: Augsburger Stadtbuch</h4>,13_2,bairalem,PV-G,13_2-bairalem-PV-G,1276-81,1276-81,Recht,Stadtrechtsbuch,P,ostschwäbisch/ Augsburg
M501,M501: Lilienfelder Andachtsbuch</h4>,13_1,bair,V-X,13_1-bair-V-X,–,–,Religion,Andachtsbuch,V,bairisch-österreichisch
M503,M503: Albert von Augsburg: Leben des heiligen Ulrich</h4>,13_1,bairalem,PV-X,13_1-bairalem-PV-X,–,"13,1V","Religion, Poesie",Heiligenlegende,V,"ostalemannisch, mitteldeutsch"
M504,M504: Mitteldeutsche Predigten (H2)</h4>,13_1,wmd,PV-X,13_1-wmd-PV-X,–,"13,E",Religion,Predigt,P,rheinfrkänkisch
M505,M505: Lancelot M</h4>,13_1,wmd,PV-X,13_1-wmd-PV-X,"13,1","13,M",Poesie,Artusroman,P,mittelfränkisch (moselfränkisch?)
M506,M506: Hohenfurter Benediktinerregel</h4>,13_1,thurhess,PV-X,13_1-thurhess-PV-X,–,um/kurz nach 1250,"Religion, Recht",Ordensregel,P,"mitteldeutsch, oberdeutsch"
M507,"M507: Sedulius, Carmen paschale, dt. Interlinearübersetzung</h4>",13_1,thurhess,PV-X,13_1-thurhess-PV-X,–,"13,A",Religion,Interlinearversion,P,thüringisch
M508,M508: Admonter Benediktinerregel</h4>,13_2,bair,P-X,13_2-bair-P-X,–,"13,E","Religion, Recht",Ordensregel,P,bairisch-österreichisch/ Admont
M509,M509: Mettener Predigtsammlung II [Leipziger Predigten Me]</h4>,13_2,bair,P-X,13_2-bair-P-X,–,"13,3V",Religion,Predigt,P,bairisch
M510,M510: Gundacker von Judenburg: Christi Hort</h4>,13_2,bair,V-X,13_2-bair-V-X,–,"14,1V",Religion,Bibeldichtung,V,bairisch-österreichisch
M512,M512: Vorauer Novelle</h4>,13_2,bairalem,PV-X,13_2-bairalem-PV-X,–,"13,3V","Religion, Poesie",Mirakelerzählung,V,alemannisch
M513,"M513: Hugo von St. Victor: Expositio in regulam S. Augustini, dt. [Katharinenthaler] Übersetzung) (Zu1)</h4>",13_2,alem,PV-X,13_2-alem-PV-X,–,"13,E oder um 1300","Religion, Recht",Ordensregel,P,alemannisch/ Dominikanerinnenkloster St. Katharinental bei Diessenhofen
M514,M514: Reinmar von Zweter</h4>,13_2,alem,PV-X,13_2-alem-PV-X,–,um 1300,Poesie,Spruchdichtung,V,alemannisch
M516,M516: Der Sünden Widerstreit (G)</h4>,13_2,md,V-X,13_2-md-V-X,–,1278 (vgl. S. 366),Religion,allegorisches Gedicht,V,rheinfränkisch-hessisch
M517,M517: Freidank: Bescheidenheit (A)</h4>,13_2,md,V-X,13_2-md-V-X,–,"13,4V",Poesie,Sinnsprüche,V,südrheinfränkisch
M518,M518: Gebetbuch für Nonnen</h4>,14_1,obd,PV-X,14_1-obd-PV-X,–,um 1310,Religion,Gebet,PV,bairisch
M520,M520: Österreichischer Bibelübersetzer: Klosterneuburger Evangelienwerk</h4>,14_1,obd,PV-X,14_1-obd-PV-X,–,um 1340,Religion,Bibelübersetzung,P,niederösterreichisch
M521,M521: Franziskanerregel (Augsburger Drittordensregel)</h4>,14_1,obd,PV-X,14_1-obd-PV-X,–,"14,A","Religion, Recht",Ordensregel,P,schwäbisch-alemannisch
M522,M522: Sigenot</h4>,14_1,obd,PV-X,14_1-obd-PV-X,–,"14,2V",Poesie,Heldendichtung,V,ostalemannisch
M523,M523: Hugo von Konstanz: Predigten</h4>,14_1,obd,PV-X,14_1-obd-PV-X,–,"14,A",Religion,Predigt,P,alemannisch
M524,M524: Caecilia (Verslegende)</h4>,14_1,obd,PV-X,14_1-obd-PV-X,–,"14,A",Religion,Heiligenlegende,V,hochalemannisch/ Dominikanerinnenkloster St. Katharinental bei Diessenhofen
M525,"M525: Speculum humanae salvationis, Kremsmünsterer Reimparaphrase</h4>",14_1,obd,PV-X,14_1-obd-PV-X,"14,1",um 1350,Religion,Bibeldichtung,V,alemannisch
M527,M527: Deutschordensregeln und -statuten</h4>,14_1,mfrk,P-X,14_1-mfrk-P-X,–,um/kurz nach 1300,"Religion, Recht",Ordensregel,P,mittelfränkisch
M528,M528: Kölner Eidbücher</h4>,14_1,mfrk,P-X,14_1-mfrk-P-X,1321,1321,Recht,Eidbuch,P,ripuarisch
M529,M529: Gottfried Hagen: Reimchronik der Stadt Köln (D)</h4>,14_1,mfrk,P-X,14_1-mfrk-P-X,1270,Ende 1. Viertel 14. Jh.,Wissen(-schaft),Geschichtsdichtung,V,ripuarisch
M530,M530: Rheinischer Merlin (Merlin und Lüthild)</h4>,14_1,mfrk,P-X,14_1-mfrk-P-X,"13,M-14,2V",1330-50,Poesie,"Lebensgeschichte, Heiligenlegende",V,ripuarisch
M531,"M531: Das Turnier', 'Ritterfahrt', 'Ritterpreis'</h4>",14_1,mfrk,P-X,14_1-mfrk-P-X,–,–,Poesie,höfische Epik,V,moselfränkisch
M532,M532: St. Galler (mittelrheinisches) Passionsspiel</h4>,14_1,rhfrhess,PV-X,14_1-rhfrhess-PV-X,–,1320-1340,Religion,Bibeldichtung,V,rheinfränkisch
M533,M533: Klagschrift der Gesellschaft der alten Geschlechter zu Mainz gegen die Zweiundzwanzig von der Gemeinde</h4>,14_1,rhfrhess,PV-X,14_1-rhfrhess-PV-X,–,1322,Recht,Klagschrift,P,rheinfränkisch-hessisch
M536,M536: Leipziger Predigten (Hs. A)</h4>,14_1,omd,PV-X,14_1-omd-PV-X,–,–,Religion,Predigt,P,hochdeutsch
M537,M537: Christherre-Chronik</h4>,14_1,omd,PV-X,14_1-omd-PV-X,–,–,Religion,Bibeldichtung,V,ostmitteldeutsch
M538,M538: (Buch) Daniel</h4>,14_1,omd,PV-X,14_1-omd-PV-X,–,nicht vor 1331,Poesie,Deutschordensdichtung,V,ostmitteldeutsch
M539,M539: Das Buch von guter Speise (A)</h4>,14_1,ofrk,P-X,14_1-ofrk-P-X,–,1345-1354,"Wissen(-schaft), Alltag",Kochbuch,PV,ostfränkisch
M540,M540: Nürnberger Stadtbuch</h4>,14_1,ofrk,P-X,14_1-ofrk-P-X,–,um 1320/23-1360/62,Recht,Satzung,P,ostfränkisch (nürnbergisch)/ Nürnberg
M541B,M541B: Herbort von Fritzlar: 'Liet von Troye' (B)</h4>,14_1,thurhess,V_Herb2-X,14_1-thurhess-V_Herb2-X,nach 1190,um 1300,Poesie,Antikenroman,V,"hessisch, ostfränkisch (?)"
M541H,M541H: Herbort von Fritzlar: 'Liet von Troye' (H)</h4>,14_1,thurhess,V_Herb-X,14_1-thurhess-V_Herb-X,nach 1190,1333,Poesie,Antikenroman,V,unterostfränkisch-mitteldeutsch/ Würzburg
M541S,M541S: Herbort von Fritzlar: 'Liet von Troye' (S)</h4>,14_1,rhfrhess,PV-X,14_1-rhfrhess-PV-X,nach 1190,"13,3V",Poesie,Antikenroman,V,hessisch
M543,M543: Hamburger Beichte</h4>,13_1,wmd,PV-X,13_1-wmd-PV-X,–,"13,2V",Religion,Beichte,P,rheinfränkisch (teilweise)
M544A,M544A: Mittelfränkische Urkunden 1248-1275 (Erweiterung von M349)</h4>,13_2,mfrk,U-X,13_2-mfrk-U-X,"13,2",1248-1275,Recht,Urkunden,U,mittelfränkisch (teils rheinfränkisch)
M544B,M544B: Mittelfränkische Urkunden 1275-1299 (Erweiterung von M349)</h4>,13_2,mfrk,U-X,13_2-mfrk-U-X,"13,2, 1275-1299",–,Recht,Urkunden,U,mittelfränkisch (teils rheinfränkisch)
M544C,M544C: Mittelfränkische Urkunden 13. Jh. (Erweiterung von M349)</h4>,13_2,mfrk,U-X,13_2-mfrk-U-X,"13,2, 1275-1284",–,Recht,Urkunden,U,–
M544D,M544D: Mittelfränkische Urkunden 13. Jh. (Erweiterung von M349)</h4>,13_2,mfrk,U-X,13_2-mfrk-U-X,"13,2, 1279-1299",–,Recht,Urkunden,U,mittelfränkisch
M545,M545: Mittelfränkische Urkunden des 14. Jh.s</h4>,14_1,mfrk,U-X,14_1-mfrk-U-X,"13,2",–,Recht,Urkunden,U,rheinfränkisch (teilweise)
M546,M546: Flors inde Blanzeflors</h4>,13_2,md,V-X,13_2-md-V-X,–,"13,E",Poesie,höfischer Roman,V,ripuarisch
M547,M547: Kölner Klosterpredigten</h4>,14_1,mfrk,P-X,14_1-mfrk-P-X,–,–,Religion,Predigt,P,ripuarisch
M548,M548: Prosa-Lancelot Msp</h4>,13_2,wmd,P-X,13_2-wmd-P-X,"13,2","13, 3. Viertel",Poesie,Artusroman,P,"südrheinfränkisch, alemannisch"
M549,M549: Mainzer Friedgebot von 1300</h4>,14_1,wmd,U-X,14_1-wmd-U-X,"14,1",1300,Recht,Urkunden,U,rheinfränkisch
M550,M550: Rheinfränkische Urkunden des 13. Jh.</h4>,13_2,wmd,U-X,13_2-wmd-U-X,"13,2","13,2",Recht,Urkunden,U,rheinfränkisch (alemannisch)
M551,M551: Hessische Urkunden des 13. Jh.</h4>,13_2,wmd,U-X,13_2-wmd-U-X,"13,2","13,2",Recht,Urkunden,U,"hessisch (hessisch-thüringisch), rheinfränkisch, ostmitteldeutsch"
M552,M552: Ostmitteldeutsche Urkunden des 13. Jh.</h4>,13_2,omd,U-X,13_2-omd-U-X,"13,2","13,2",Recht,Urkunden,U,ostmitteldeutsch (oberdeutsch)
