sigle,title,period,dialect,typecode,ANNIS-Gruppe,Datierung (Text),Datierung (Hs.),Textbereich,Textsorte,Textart,Sprache (Hs.)/ Schreibort
M057,M057: De spiritu sancto</h4>,12_2,wmd,PVU-X,12_2-wmd-PVU-X,–,"12,3D","Religion, Poesie",–,V,rheinfränkisch/ Arnstein oder Beselich
M058,M058: Sangspruchstrophe MF 'Namenlos IV'</h4>,13_1,bair,V-X,13_1-bair-V-X,–,–,Poesie,Spruchdichtung,V,bairisch
M059,M059: Denkspruch</h4>,13_1,obd,PV-X,13_1-obd-PV-X,–,"um 1200 (Ziegler, S. 230)",Alltag,Gnome,P,oberdeutsch
M060,M060: MF Namenlos I-III</h4>,12_2,alem,PV-X,12_2-alem-PV-X,–,"12,E; um 1200",Poesie,Spruchdichtung,V,alemannisch
M061B,M061B: Deutung der Meßgebräuche</h4>,12_2,bairalem,PV-G,12_2-bairalem-PV-G,12,um/nach 1200,"Religion, Poesie",Lehrdichtung,V,"ostalemannisch, bairisch"
M061W,M061W: Deutung der Meßgebräuche/Wolfenbüttel</h4>,13_1,bair,V-X,13_1-bair-V-X,–,"13,M","Religion, Poesie",Lehrdichtung,V,bairisch (bairisch-mitteldeutscher Grenzraum mit mitteldeutschen Anklängen)
M062,M062: Drei Jünglinge im Feuerofen; Ältere Judith</h4>,12_2,bair,V_2-X,12_2-bair-V_2-X,"12,1D","12,4V","Religion, Poesie",Bibeldichtung,V,bairisch
M063,"M063: Du bist mîn, ich bin dîn</h4>",12_2,obd,PV-X,12_2-obd-PV-X,–,"1178-1186 (Schneider 1987, S. 27)",Poesie,Minnesang,V,oberdeutsch
M064M,M064M: Eilhart von Oberg: 'Tristrant' (M)</h4>,12-13_1,mdnd,V-X,12-13_1-mdnd-V-X,"12,4V-13,A","13,1D",Poesie,höfische Epik,V,"mitteldeutsch, niederdeutsch"
M064R,M064R: Eilhart von Oberg: 'Tristrant' (R)</h4>,13_1,bairalem,PV-X,13_1-bairalem-PV-X,"12,4V-13,A","13,A",Poesie,höfische Epik,V,bairisch-ostalemannisch
M064S,M064S: Eilhart von Oberg: 'Tristrant' (St)</h4>,12-13_1,mdnd,V-X,12-13_1-mdnd-V-X,"12,4V-13,A","13,A",Poesie,höfische Epik,V,"mitteldeutsch, niederdeutsch"
M065,M065: Linzer Entechrist</h4>,12_2,alem,PV-G,12_2-alem-PV-G,–,"um 1200 / 13,A","Religion, Poesie",Bibeldichtung,V,"ostoberdeutsch, westoberdeutsch"
M066,M066: Esau und Jakob; Zehn Gebote</h4>,13_2,md,V-X,13_2-md-V-X,–,"13,4V","Religion, Poesie",Bibeldichtung,V,südrheinfränkisch
M067,M067: Wien-Münchner Evangelienübersetzung</h4>,12_2,bairalem,PV-G,12_2-bairalem-PV-G,12,um 1200,Religion,Bibelübersetzung,P,"ostalemannisch, bairisch"
M068,M068: Altdeutsche Exodus</h4>,12_2,bair,V_1-X,12_2-bair-V_1-X,–,"12,4V","Religion, Poesie",Bibeldichtung,V,bairisch (mit schwäbischen Einsprengseln)
M069,M069: Ezzo: Hymnus ('Ezzolied') (S)</h4>,11_2-12_1,obd,PV-G,11_2-12_1-obd-PV-G,1057/65,bald nach 1130,"Religion, Poesie",Lied,V,alemannisch
M070,M070: Gothaer Fiebersegen</h4>,12_2,wmd,PVU-X,12_2-wmd-PVU-X,12,um 1200,"Religion, Alltag",Segen,P,moselfränkisch
M071U,M071U: Uppsalaer Frauengebete</h4>,13_1,bair,P-X,13_1-bair-P-X,–,"13,1V",Religion,Gebet,PV,bairisch (donauländischer Raum)/
M071W,M071W: Uppsalaer Frauengebete</h4>,13_1,bair,P-X,13_1-bair-P-X,–,"13,1V",Religion,Gebet,P,bairisch (donauländischer Raum)
M072,M072: Frauengeheimnisse</h4>,12_2,bair,P-X,12_2-bair-P-X,–,"12,3V",Wissen(-schaft),Arzneibuch,P,bairisch
M073,M073: Friedberger Christ</h4>,13_1,wmd,PV-X,13_1-wmd-PV-X,12,"13,A","Religion, Poesie",Bibeldichtung,V,"rheinfränkisch, hessisch"
M074,M074: Gebet einer Frau</h4>,12_2,bair,V_3-X,12_2-bair-V_3-X,12,"12,4V","Religion, Poesie",Gebet,V,bairisch
M075,M075: Klosterneuburger Gebet</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,11,–,Religion,Gebet,P,bairisch
M076A,M076A: Gebetbuch Hildegard von Bingen (Bildbeischriften)</h4>,13_1,wmd,PV-X,13_1-wmd-PV-X,–,"13,2V",Religion,Bildbeischriften,P,rheinfränkisch/ Raum Bingen-Worms
M076B,M076B: Gebetbuch Hildegard von Bingen (Mariengebete)</h4>,13_1,wmd,PV-X,13_1-wmd-PV-X,–,"13,1V (vgl. Schneider [Kommentarband] S. 55, 62)",Religion,Gebet,P,rheinfränkisch/ Raum Bingen-Worms
M077,M077: Gebete u. Benediktionen von Muri</h4>,12_2,alem,PV-G,12_2-alem-PV-G,12,um 1200,Religion,Gebet,P,alemannisch
M078,M078: Engelberger Gebete</h4>,12_2,alem,PV-X,12_2-alem-PV-X,–,"12,E",Religion,Gebet,P,alemannisch
M079,M079: Klagenfurter Gebete</h4>,12_1,bair,PV-X,12_1-bair-PV-X,"12,1",um 1150,Religion,Gebet,PV,bairisch
M080,M080: Rheinauer Gebete</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,–,"1150-1170 (Wilhelm, B: S. 154); 11./12, sprachlich 11 (Mohlberg, S. 277)",Religion,Gebet,P,alemannisch
M081A,M081A: Seckauer (St. Lambrechter) Gebete A</h4>,13_1,bair,P-X,13_1-bair-P-X,–,"13,A; um 1200",Religion,Gebet,P,bairisch
M081B,M081B: Seckauer (St. Lambrechter) Gebete B</h4>,13_1,bair,P-X,13_1-bair-P-X,–,"13,2V",Religion,Gebet,P,bairisch
M082,M082: Vatikanische Gebete</h4>,13_1,wmd,PV-G,13_1-wmd-PV-G,"vielleicht noch 12,E","13,2V",Religion,Gebet,P,rheinfränkisch
M083,M083: Zürcher Gebet</h4>,12_2,alem,PV-X,12_2-alem-PV-X,–,um 1200,Religion,Gebet,P,alemannisch
M084A,M084A: Gebetsanweisungen zum Psalter Augsburg</h4>,12_2,obd,PV-X,12_2-obd-PV-X,–,"13,1V (um 1210-1220) (Hilg S. 77)",Religion,Gebetsanweisung,P,hochdeutsch
M084B,M084B: Gebetsanweisungen zum Psalter Beuron</h4>,12_2,obd,PV-X,12_2-obd-PV-X,–,–,Religion,Gebetsanweisung,P,oberdeutsch
M084E,M084E: Gebetsanweisungen zum Psalter Erlangen</h4>,13_1,obd,PV-X,13_1-obd-PV-X,–,–,Religion,Gebetsanweisung,P,oberdeutsch
M084L,M084L: Gebetsanweisungen zum Psalter London</h4>,13_1,obd,PV-X,13_1-obd-PV-X,–,–,Religion,Gebetsanweisung,P,oberdeutsch
M084M,M084M: Gebetsanweisungen zum Psalter München</h4>,12_2,obd,PV-X,12_2-obd-PV-X,–,"um 1200 (Schneider, S. 134)",Religion,Gebetsanweisung,P,oberdeutsch
M085,M085: Gebetsanweisungen zum Psalter u. Nonnengelöbnis</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,–,"1138-1165 (Schmid, S. 218, und Bruchhold, S. 163)",Religion,Gebetsanweisung,P,oberdeutsch/ Admont
M086,M086: Gebetsanweisung zum Psalter</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,–,"11 (Mohlberg, S. 74); 12,E (Wilhelm, B: S. 196)",Religion,Gebetsanweisung,P,alemannisch
M087,M087: Vorauer Genesis (Bücher Mosis 1)</h4>,12_2,bair,V_2-X,12_2-bair-V_2-X,12,"12,4V","Religion, Poesie",Bibeldichtung,V,bairisch
M088,M088: Wiener Genesis</h4>,12_2,bair,V_1-X,12_2-bair-V_1-X,"11,2","12,4V","Religion, Poesie",Bibeldichtung,V,oberdeutsch
M089,M089: Bamberger Glaube u. Beichte</h4>,11_2-12_1,obd,PV-G,11_2-12_1-obd-PV-G,11?,12,Religion,"Credo, Beichtformel",P,ostfränkisch
M090,M090: Benediktbeurer Glaube u. Beichte I</h4>,12_2,bairalem,PV-X,12_2-bairalem-PV-X,12,–,Religion,"Credo, Beichte",P,"bairisch, alemannisch"
